k,state,true_mean,sample_mean,sample_std,abs_err
7,0,0.5,0.40744340973703885,0.01344191676789461,0.09255659026296115
7,1,0.5,0.3956301671061768,0.024996988061321723,0.10436983289382318
7,2,0.5,0.42575356747931214,0.032320143719180724,0.07424643252068786
7,3,0.5,0.3841873869073858,0.02032654671400542,0.1158126130926142
7,4,0.5,0.40844588586018593,0.024498053187014514,0.09155411413981407
7,5,0.5,0.39679030981791563,0.04544366141752647,0.10320969018208437
7,6,0.5,0.3977858572300062,0.022654929666772045,0.1022141427699938
7,7,0.5,0.37697740399502583,0.0471778988542726,0.12302259600497417
7,8,0.5,0.4213940717910518,0.04132012244533573,0.07860592820894818
7,9,0.5,0.3717078529441383,0.0382869909331739,0.12829214705586173
7,10,0.5,0.3947548386040227,0.03141620930902864,0.10524516139597728
7,11,0.5,0.3898650165194283,0.06513816664168652,0.11013498348057171
7,12,0.6666666666666666,0.4132260769239845,0.026747970315508948,0.25344058974268213
7,13,0.5,0.4042667559200855,0.03581711040070683,0.09573324407991451
7,14,0.5,0.37697405841389486,0.036276634226649423,0.12302594158610514
7,15,0.5,0.39324826695042864,0.028884104441437734,0.10675173304957136
7,16,0.5,0.41079231533785043,0.026447835467438358,0.08920768466214957
7,17,0.5,0.3931261336478875,0.03116116606574327,0.10687386635211249
7,18,0.5,0.4274208337459817,0.03798943625064024,0.07257916625401828
7,19,0.5,0.42021860608948386,0.03950317615337205,0.07978139391051614
7,20,0.5,0.41964290024352247,0.0363737364397779,0.08035709975647753
7,21,0.5,0.4279650319317654,0.06134028180980166,0.07203496806823462
7,22,0.5,0.4039268809456179,0.042316046081797565,0.0960731190543821
7,23,0.5,0.3536093102264451,0.050448091373722775,0.1463906897735549
7,24,0.5,0.4362290805582561,0.04081343869580522,0.0637709194417439
7,25,0.3333333333333333,0.42689644970806206,0.05107079700876789,0.09356311637472875
7,26,0.5,0.38983164726554076,0.05983986037278356,0.11016835273445924
7,27,0.5,0.39798769163233605,0.049179286970071505,0.10201230836766395
7,28,0.5,0.43708393624119135,0.02252868876003294,0.06291606375880865
7,29,0.5,0.4162073539150617,0.08455278946123948,0.0837926460849383
7,30,0.5,0.4146349314101869,0.044730368564826546,0.08536506858981308
7,31,0.5,0.410541140741859,0.03884111021220319,0.08945885925814101
7,32,0.5,0.4236242433190061,0.027281460481237762,0.07637575668099389
7,33,0.5,0.39115118353205874,0.034618874961740966,0.10884881646794126
7,34,0.5,0.3913775463252922,0.033962489416030424,0.1086224536747078
7,35,0.5,0.3838327762387497,0.02304595942908452,0.11616722376125033
7,36,0.5,0.4191079865844265,0.03298147046348777,0.0808920134155735
7,37,0.5,0.3823701482518571,0.02357199821248005,0.11762985174814289
7,38,0.5,0.4295143004989106,0.04650439101645944,0.0704856995010894
7,39,0.5,0.37515425080866055,0.05286782125705092,0.12484574919133945
7,40,0.5,0.40081668354717354,0.033699192696700825,0.09918331645282646
7,41,0.5,0.4065269672297054,0.03257514617295125,0.09347303277029462
7,42,0.5,0.45092153229678894,0.04689636276684765,0.04907846770321106
7,43,0.5,0.4136262873762874,0.047149239701614394,0.08637371262371257
7,44,0.5,0.39871523134650094,0.06522525534550826,0.10128476865349906
7,45,0.5,0.3831186911037929,0.08933003488359195,0.11688130889620713
