metric,mean,median,std,p90,p95,min,max
wasserstein1,0.016391136804023477,0.01479721129683668,0.00813374648286323,0.02701854761042668,0.029687136553373072,0.003908790850594011,0.033057147546777556
ks_cdf,0.1764364004599767,0.1645426361158111,0.10743852571428496,0.2428368510358894,0.3544727038043008,0.052911769076491866,0.5333818385738132
cvm_int,0.002208391389369115,0.001613375666440318,0.002003172379077461,0.0046397988124973095,0.00524375854311525,7.278964946802814e-05,0.00812143732548321
pit_ks,0.1794276156540507,0.16772580810797294,0.10881994478969075,0.24589490516339968,0.36016464151864713,0.05462746960084311,0.5403143892099018
pit_cvm,3.4307649717352913,2.2046603886727905,4.732303128577609,5.474262546401542,10.952538354050873,0.06606844749509592,22.586438691195838
quantile_rmse,0.017646700157897675,0.016648860777547028,0.007256252620029538,0.027903388772585243,0.029319403763643948,0.005620654304920576,0.03041972630546065
coverage_mae,0.044458333333333315,0.04124999999999998,0.029679834914883078,0.084125,0.10124999999999994,0.009999999999999981,0.11875000000000002
coverage_max_abs,0.07549999999999998,0.065,0.04345727192034288,0.1355,0.14,0.014999999999999902,0.18
abs_mean_error,0.014851754501557507,0.01434495940804481,0.009557594405391105,0.0270902827407878,0.02942528577965613,6.765796588015238e-05,0.0327684766971148
abs_std_error,0.0051885712235149005,0.005076111025301023,0.003831226640993859,0.010122039842576345,0.012053804061439308,0.00047751297077486266,0.015594022279820992
