metric,expected_mean,mc_stderr,replicates,samples_per_context
wasserstein1,0.0048046715046723655,1.4939160499011532e-05,400,200
ks_cdf,0.05896691093479941,0.00015821641150860156,400,200
cvm_int,0.00015069404742082114,1.07946576971164e-06,400,200
pit_ks,0.060446814794863794,0.00015938907827353017,400,200
pit_cvm,0.16570375195491324,0.0012916069656355794,400,200
quantile_rmse,0.00596644882625188,2.17827784312858e-05,400,200
coverage_mae,0.019944999999999997,9.367385518130433e-05,400,200
