true_mean,sample_mean,abs_mean_error,true_std,sample_std,abs_std_error,wasserstein1,ks_cdf,cvm_int,pit_ks,pit_cvm,quantile_rmse,coverage_mae,coverage_max_abs,context_id,p_true,context_ones,context_zeros,alpha_post,beta_post
0.28846153846153844,0.32123001515865324,0.0327684766971148,0.06223077550991086,0.06156026092908426,0.0006705145808265991,0.033057147546777556,0.23345495123139626,0.0053163221533900915,0.23635628380927665,5.472389254981051,0.030336564451100622,0.04625,0.08000000000000007,26,0.3005445599555969,14,36,15.0,37.0
0.3269230769230769,0.35741001650691034,0.030486939583833417,0.06443431329777005,0.05851686371622036,0.005917449581549689,0.030425818652205817,0.24259448283468843,0.004582546493206713,0.24564833975899503,4.845214297812159,0.03041972630546065,0.013750000000000012,0.030000000000000027,8,0.4241982400417328,16,34,17.0,35.0
0.3076923076923077,0.3358200166001916,0.028127708907883908,0.06339718336093339,0.06052822752748795,0.002868955833445437,0.02878430287702195,0.22004825645957543,0.004236418809463146,0.2231070473157864,4.535798536354555,0.02807620736786358,0.016250000000000014,0.03500000000000003,25,0.32052111625671387,15,35,16.0,36.0
0.25,0.276975013166666,0.026975013166666006,0.05947886892886081,0.06955475710906742,0.010075888180206605,0.026822352580804978,0.2105368440553989,0.0036566371267282623,0.2135994978124734,3.653953564174803,0.027884186706443208,0.08750000000000002,0.125,27,0.15346862375736237,12,38,13.0,39.0
0.8653846153846154,0.840535039305687,0.02484957607892846,0.04688284934838468,0.04736036231915954,0.00047751297077486266,0.024759212468970362,0.2339340708272627,0.004022888026632105,0.23776098974667154,5.491122169185964,0.022941273681350724,0.03500000000000002,0.065,11,0.829251229763031,44,6,45.0,7.0
0.8269230769230769,0.8025650396943093,0.024358037228767615,0.05196539156290281,0.05095584991586578,0.0010095416470370308,0.02426252836815593,0.21115693026685917,0.003613855890046131,0.21446100592238926,4.636529092380274,0.022794498322464628,0.02500000000000001,0.06,28,0.8081961870193481,42,8,43.0,9.0
0.8653846153846154,0.8417450377345085,0.023639577650106935,0.04688284934838468,0.052327726739173,0.005444877390788319,0.023430799943838364,0.21277454864890727,0.003283051764330749,0.2155685595878897,4.277852562796152,0.022365177996061265,0.053750000000000006,0.08000000000000002,6,0.8907660245895386,44,6,45.0,7.0
0.8846153846153846,0.8611550396680832,0.023460344947301426,0.04388471301231017,0.04958228832836556,0.005697575316055387,0.023295913721524085,0.24501816484669797,0.0036728642490146427,0.2481139938030416,4.9477357319762545,0.024808679144249796,0.07,0.13,3,0.9537593126296997,45,5,46.0,6.0
0.038461538461538464,0.059370002634823324,0.02090846417328486,0.02641549306705558,0.015878088263151582,0.010537404803904,0.021908112178973493,0.5333818385738132,0.00812143732548321,0.5403143892099018,22.586438691195838,0.023364266147737418,0.08374999999999998,0.18,12,0.014390756376087666,1,49,2.0,50.0
0.34615384615384615,0.36721501797437667,0.021061171820530522,0.0653483208409447,0.0625367354954228,0.002811585345521908,0.02154834082540389,0.17708058219372572,0.002435909009310073,0.18001983008104364,2.5934362720195288,0.0235520377765805,0.010000000000000009,0.015000000000000013,4,0.38031694293022156,17,33,18.0,34.0
