context_id,wasserstein1,ks_cdf,cvm_int,pit_ks,pit_cvm,quantile_rmse,coverage_mae,state0_abs_mean_error,state1_abs_mean_error
1,0.058025185304470796,0.6106131117500786,0.04205598103989582,0.61068895588654,35.07184550495817,0.05890958010149167,0.44250000000000006,0.10825773534628347,0.007787128568638335
2,0.06825176366713007,0.960754051417993,0.04987602523320207,0.9612511981062406,65.94003212457534,0.0686650735633184,0.7793749999999999,0.06314923439582865,0.07335793071890473
3,0.08400555894165357,0.8412253066342141,0.060682468008337626,0.8421558182668686,55.48234174210828,0.08436644295528256,0.65,0.1236971969131272,0.04433046419394271
4,0.107920137430335,0.8624705474381598,0.08586779202484805,0.8628469705957902,57.10794947321084,0.10760316117278718,0.685625,0.04690511082158666,0.16895000138909874
5,0.14689031212033812,0.7036319111732192,0.12091980183017237,0.7047320454561757,41.756831357952066,0.1467883425146945,0.508125,0.01161448767819763,0.28215142143771366
6,0.02593217324225395,0.42407014664960796,0.013536514897991554,0.4246039995163983,26.71739520141148,0.025958859712454194,0.32125,0.002745172620411185,0.04876491536287053
7,0.06555254871417812,0.8032015557641683,0.041438498232586066,0.8062353698384028,53.07909055445091,0.06543997103013706,0.628125,0.08695664896042576,0.04414900585740142
8,0.05941030359496892,0.8247576240405006,0.039380689621511644,0.8260291026177606,53.99793219503362,0.05961570790147913,0.635,0.03690403870727288,0.0818942627251883
9,0.041595664892382776,0.6356007226186102,0.018757583182417267,0.6374739362987095,38.001955723732465,0.041814830144375786,0.42500000000000004,0.02168074776205542,0.061532086589249024
10,0.12711920621138298,0.9612289627418715,0.10129127756157955,0.9612687376911537,65.06627510645266,0.12624074255764153,0.769375,0.18263799540924874,0.07162300056337145
11,0.11556705826254687,0.9830866253754695,0.09437644770001669,0.9834297193800465,66.29714706458392,0.11667028376293664,0.7825,0.08681216661266394,0.14432905999577306
12,0.03668630630960999,0.51535340264036,0.02093769436621542,0.5187688417523946,31.833157491325494,0.03696576131109232,0.386875,0.008223329308942984,0.06509851313870829
13,0.06567394539474022,0.6657199564505285,0.020318406139614525,0.6669402547683424,39.52466733338947,0.08177320076502005,0.40437499999999993,0.011971558235273284,0.1193025295155907
14,0.09754920915393128,0.9865817016407897,0.07480193897737675,0.9866909033302702,66.53617656474862,0.09815388894388727,0.7875000000000001,0.11416422816854158,0.08093300705379869
15,0.014808792982692807,0.32091595287264285,0.0033541747109869183,0.3257263631924018,10.017122166930562,0.014983178611034457,0.13375,0.01758854254158626,0.011929213774073577
16,0.07085035413246989,0.7931306199161006,0.04081443894246822,0.7944716439978603,53.1376633894006,0.07519109472320366,0.655,0.013603597712181146,0.1280833306551405
17,0.13358183236207444,0.9965519951221861,0.10754975026300204,0.9966113026189738,66.65318603462376,0.13267331684208522,0.7875000000000001,0.16910272820022143,0.09807224498961087
18,0.08821063208225141,0.9483184171246493,0.0628040988887442,0.9487589871864748,65.39124692017083,0.08804632037520868,0.77125,0.07272049674346664,0.10365833915334721
19,0.02097573691767666,0.31772823546473283,0.00801843371319649,0.31935951742369484,16.127885920519493,0.021358543396204403,0.20625,0.03956432900775336,0.002281786757261539
20,0.04856001932550769,0.8126887737077544,0.02795938971793497,0.8140119824231217,55.82637694228338,0.04844449430259734,0.6543749999999999,0.05773614327138821,0.03939806199582829
21,0.24052037129247633,0.8328064178365809,0.20415427611742573,0.8350162524980931,53.71642593752624,0.24121202680967735,0.62875,0.01118484855786198,0.46982677048675914
22,0.1284203446100629,0.840992374017371,0.08590022745216572,0.8450935154915278,56.850462568412205,0.1320480937953705,0.6656249999999999,0.2453776594709659,0.011377710160736965
23,0.03612145439395115,0.6600681113324931,0.015654162509137363,0.6640298628447471,38.61534445536972,0.03689015420466411,0.488125,0.04295004069810893,0.02931947590756523
24,0.0706434577358472,0.9215551556209696,0.05162212659012379,0.9229085011155358,62.71422674651153,0.07153168375643462,0.738125,0.0941930602747364,0.047060726598058045
25,0.07412749070460668,0.8773102546460432,0.04798554462518804,0.8785026701403034,60.30335247433425,0.07372405764575408,0.7068749999999999,0.09721811719015871,0.05104983231159366
26,0.028742908186271614,0.3748814092623389,0.011960745189535077,0.3786639275262033,18.856336817906477,0.02937639089912434,0.23062500000000002,0.0021615529008985057,0.05490724835893651
27,0.0331482502623467,0.5271202521313596,0.013431728285220185,0.5291954670323213,27.72268259096682,0.03342108557677837,0.32875000000000004,0.021269324321547267,0.044994951785503
28,0.06571751038633206,0.9039496989617636,0.04690684442609319,0.9055643904237777,61.24981620988165,0.06557178953897835,0.7225,0.039962716895531436,0.09147547465663808
29,0.06408788822191362,0.7698708440529151,0.044939452778399704,0.7724523452973927,48.35393777748634,0.06579434768821625,0.555625,0.013496284987296527,0.11468072010968544
30,0.05174212058069885,0.7695068842596864,0.028443493805469525,0.7714146456582347,51.390200893051805,0.05084651651707277,0.609375,0.04014161656154591,0.06332367602544123
