k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,1000,100,1.0485422833066736e-29,-28.979414051572977,1.0323556662350851e-38,3.6035677727396387e-39,99.99999990154372
1,1,1000,100,8.545278332118296e-16,-15.068273787111236,9.514020781416996e-46,3.3436244782437222e-46,100.0
1,2,1000,100,2.682879453882756e-18,-17.571398840443848,1.905610907392283e-43,8.943192131102264e-44,100.0
1,3,1000,100,3.05781694603338e-62,-61.51458851686586,2.4067710046591973e-46,1.126030143430893e-46,7.870879935377676e+17
1,4,1000,100,7.261951714491806e-67,-66.13894664308485,3.7856476941031207e-36,1.3220636145781808e-36,5.212989349059644e+32
1,5,1000,100,6.519854102316154e-20,-19.18576212256071,1.5397331537401077e-36,2.6409901879670375e-37,100.0
1,6,1000,100,1.2611112804672636e-28,-27.899246589588248,2.5021881605036496e-44,6.388996092801045e-45,99.99999999999997
1,7,1000,100,2.109608107667437e-46,-45.67579821412642,9.070884777982595e-33,9.785797264162328e-34,4299796130387425.0
