k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,15,100,1.151691546887478e-31,-30.938663820758308,1.5921320723280684e-31,1.719149481266896e-32,38.2429242127295
1,1,11,100,1.0368845654444252e-32,-31.984269590169287,1.5069946231657506e-32,3.237314852690906e-33,45.33870725714089
1,2,17,100,3.434683416686146e-31,-30.46411328676236,4.815004170480758e-32,8.498914695809992e-33,85.98122858401204
1,3,17,100,2.5697631373749155e-29,-28.59010690502346,1.1919443105928702e-31,1.4450077838285864e-32,99.53616569042605
1,4,12,100,1.6601777891655498e-38,-37.77984540068343,5.855052750401714e-32,1.0498822457971209e-32,352676148.8097508
1,5,11,100,5.433927393060748e-29,-28.26488616882643,6.398630334209498e-32,1.1591399112171458e-32,99.88224667222494
1,6,13,100,1.516693109971436e-32,-31.819102286140858,8.357379587386068e-32,1.1986218649911492e-32,451.02640952482886
1,7,15,100,1.0598327920114938e-27,-26.974762647220892,1.7998198081853312e-31,2.0920777754080634e-32,99.98301788903163
