k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
2,0,10,100,3.152861828486403e-54,-53.50129506142487,1.6348808304064296e-29,3.023675816376084e-30,5.1853868622948455e+26
2,1,20,100,1.6698404485462033e-47,-46.77732502323939,4.233279078273152e-29,4.9415525641019e-30,2.5351398583970883e+20
2,2,15,100,2.478421696461846e-41,-40.60582479769154,8.47090705255841e-31,6.52135706391189e-31,3417863499340.526
2,3,17,100,4.339098394256698e-54,-53.362600501611226,5.1776096711980665e-30,1.4837407731837047e-30,1.1932455088022977e+26
2,4,19,100,1.46821417063502e-44,-43.83321058860206,5.191285139196575e-29,6.384139090531103e-30,3.5357819336066496e+17
2,5,15,100,1.6162790032678353e-54,-53.79148366885792,1.8815442733877523e-29,3.891918801265172e-30,1.1641209652439935e+27
2,6,18,100,6.899259332179698e-50,-49.161197530308094,3.567192958245902e-29,4.893915206151573e-30,5.1703998740962115e+22
2,7,10,100,1.7247425490805202e-55,-54.76327572253744,2.1922217383491135e-29,4.1183783403082106e-30,1.2710428808739088e+28
