k,baseline_name,rollout_length,num_posterior_samples,step2_posterior_mae,step2_posterior_rmse,step3_lpe_rel_error_median_pct,step3_lpe_rel_error_mean_pct
1,true_bayes_predictive,200,500,0.003266395215694551,0.0037877178362698614,1658817600.147489,61164265602.51759
2,true_bayes_predictive,400,500,0.019138221214556272,0.020008475545024346,45450132.870516405,4173259351.2621813
3,true_bayes_predictive,800,500,0.013119418996739813,0.017166838270800025,521.350887030799,688712397.1942855
