k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
4,0,12,100,4.670369566715153e-38,-37.330648752317245,4.7392725904205974e-32,1.833339419129982e-32,101475222.72813062
4,1,16,100,1.3400420434644406e-35,-34.872881575547005,1.3682380659521092e-31,2.3429971180182388e-32,1020941.1476454671
4,2,20,100,9.471222739180838e-37,-36.02359394976129,2.151821051988227e-31,3.460973750972574e-32,22719469.70335529
4,3,18,100,9.654315668110157e-34,-33.015278505115724,2.6210891396167607e-31,3.374401668086482e-32,27049.40374567058
4,4,18,100,2.266064034276681e-36,-35.64472782203657,1.7739320779036204e-31,2.738893315513156e-32,7828152.207664789
4,5,12,100,1.0047181588900328e-33,-32.99795574839791,2.5555931366388147e-32,1.0897153407062881e-32,2443.5920651241327
4,6,10,100,1.9323064389157547e-35,-34.713923998947,1.8788272189422458e-31,3.835259774324313e-32,972223.6341314905
4,7,15,100,3.5609577681491715e-36,-35.448433176892586,7.888711029508833e-32,1.8124415858076066e-32,2215234.059861383
