k,state,true_mean,sample_mean,sample_std,abs_err
4,0,0.5,0.19484682538314096,0.06309094518330247,0.30515317461685904
4,1,0.2,0.2860985690991667,0.0682358536395216,0.08609856909916669
4,2,0.2,0.19540319994887434,0.07675233331117601,0.004596800051125671
4,3,0.5,0.2904497576155999,0.0772387766629664,0.20955024238440012
4,4,0.2,0.1950151232931803,0.0656819733158568,0.004984876706819713
4,5,0.5,0.29424695126329165,0.10060114522800859,0.20575304873670835
4,6,0.5,0.19243485935205012,0.08654350485597524,0.3075651406479499
4,7,0.5,0.2855111707323883,0.11957121499786781,0.2144888292676117
4,8,0.8,0.19557104273677872,0.07497917340770267,0.6044289572632213
4,9,0.5,0.2900259534673671,0.09779846826283424,0.2099740465326329
4,10,0.5,0.19611826469057841,0.09371643604949743,0.3038817353094216
4,11,0.5,0.2782279796196647,0.13925259088523764,0.22177202038033528
4,12,0.5,0.20187951715904162,0.08383164531930692,0.2981204828409584
4,13,0.5,0.2884349443199523,0.16394184494395675,0.2115650556800477
4,14,0.5,0.189557025133317,0.11070542655014835,0.31044297486668304
4,15,0.5,0.2687779834344347,0.17746463150362501,0.2312220165655653
