context_id,context_len,bayes_p_next_1,model_p_next_1
1,1718,0.43856332703213613,0.45408591628074646
2,195,0.37404580152671757,0.3596354126930237
3,1098,0.49855907780979825,0.5160924792289734
4,729,0.6465696465696466,0.6283718347549438
5,979,0.7627118644067796,0.7458634972572327
6,765,0.8120805369127517,0.8233426809310913
7,1274,0.8709175738724728,0.924648106098175
8,385,0.4715447154471545,0.47374987602233887
9,132,0.4,0.39432331919670105
10,1835,0.8356481481481481,0.8580804467201233
11,960,0.468013468013468,0.6258408427238464
12,1642,0.03201219512195122,0.05183374881744385
13,1601,0.9148753224419605,0.9186586141586304
14,213,0.782608695652174,0.7351961135864258
15,180,0.5478260869565217,0.5533066391944885
16,734,0.07667731629392971,0.15683044493198395
17,1221,0.9653379549393414,0.9614364504814148
18,1870,0.7759197324414716,0.7812272310256958
19,1926,0.5430622009569378,0.49205997586250305
20,1750,0.9588759424263193,0.9263189435005188
21,512,0.6494565217391305,0.6614993214607239
22,953,0.09500609013398295,0.07760697603225708
23,513,0.2396088019559902,0.23479126393795013
24,1963,0.6305506216696269,0.6048093438148499
25,547,0.9190871369294605,0.9169118404388428
26,2018,0.8920780711825488,0.8765475153923035
27,1215,0.9891576313594662,0.9867221117019653
28,1141,0.5203915171288744,0.508776843547821
29,1829,0.6754098360655738,0.6768977642059326
30,1188,0.326984126984127,0.31982794404029846
31,1802,0.9323181049069373,0.8800130486488342
32,818,0.44155844155844154,0.2791263163089752
33,1015,0.9523281596452328,0.9451160430908203
34,1969,0.053325688073394495,0.07222794741392136
35,1708,0.4310880829015544,0.46874070167541504
36,1293,0.7885714285714286,0.8205302953720093
37,1569,0.23164763458401305,0.28373879194259644
38,757,0.3450134770889488,0.32285603880882263
39,181,0.2097902097902098,0.22839505970478058
40,1329,0.18537074148296592,0.1774325668811798
41,758,0.29514563106796116,0.3062761723995209
42,1879,0.8907692307692308,0.9163118004798889
43,569,0.5531914893617021,0.5236336588859558
44,1828,0.43061516452074394,0.4213472604751587
45,407,0.6373626373626373,0.6215509176254272
46,70,0.2222222222222222,0.22779853641986847
47,1526,0.6774193548387096,0.7063239812850952
48,1142,0.6258823529411764,0.5972331762313843
49,1127,0.2619324796274738,0.25429248809814453
50,285,0.4319526627218935,0.46076658368110657
51,1156,0.11414790996784566,0.1086985245347023
52,1059,0.6131221719457014,0.6681481599807739
53,627,0.5717884130982368,0.5500138401985168
54,1909,0.9388571428571428,0.9444701075553894
55,1847,0.8694581280788177,0.8615954518318176
56,383,0.7896678966789668,0.7957695722579956
57,1197,0.5566801619433198,0.5588766932487488
58,1080,0.334841628959276,0.389021098613739
59,436,0.6758893280632411,0.6432415246963501
60,1521,0.5081967213114754,0.4458797872066498
61,202,0.8896551724137931,0.8828383088111877
62,179,0.20270270270270271,0.2005835324525833
63,1396,0.9001623376623377,0.8976941704750061
64,580,0.15476190476190477,0.23594200611114502
65,1511,0.19834710743801653,0.09593825042247772
66,738,0.7637795275590551,0.7479206919670105
67,1887,0.5619909502262443,0.5853385925292969
68,1394,0.1785400175901495,0.1631028652191162
69,766,0.775047258979206,0.7392027974128723
70,419,0.4136690647482014,0.42310628294944763
71,1529,0.8329278183292782,0.8270061016082764
72,621,0.14691943127962084,0.10784966498613358
73,938,0.208955223880597,0.226719930768013
74,678,0.018072289156626505,0.018533462658524513
75,646,0.7238605898123325,0.7152405977249146
76,1003,0.12173913043478261,0.12981995940208435
77,824,0.3787878787878788,0.3728470504283905
78,122,0.8611111111111112,0.8632776737213135
79,800,0.6825396825396826,0.5835202932357788
80,105,0.42857142857142855,0.463396817445755
81,1991,0.11597151576805696,0.16222567856311798
82,1204,0.7474120082815735,0.7203644514083862
