context_id,wasserstein1,ks_cdf,cvm_int,pit_ks,pit_cvm,quantile_rmse,coverage_mae,state0_abs_mean_error,state1_abs_mean_error
1,0.034295901531487004,0.6120963697237567,0.014639006667145016,0.6145364008092193,36.71594127918691,0.03462988624367126,0.433125,0.03528567741166144,0.03330703881201923
2,0.033583089963063334,0.7290987228871608,0.017287919550346878,0.7312801472342949,47.46183119433924,0.03354368366488737,0.555625,0.032373751053934585,0.03481399223563131
3,0.024723164625691962,0.46119179080105394,0.007686240453572933,0.4657602529356881,20.384137176556166,0.02526955135607474,0.265,0.023861867749621624,0.025555496021733543
4,0.03154405949494754,0.5677648156225983,0.015238008199838927,0.5726615933257565,32.16265455464712,0.03212967309682466,0.39125,0.014887825508999808,0.04821997268858655
5,0.0902991026331611,0.8382422170697788,0.06130458324256066,0.8398364603752786,56.49186970166876,0.08989399641778824,0.669375,0.02605963158823378,0.15453894442758465
6,0.002982503940195373,0.07964022448299271,0.00013411263971600468,0.08107852366203094,0.3843580908170412,0.0027919031839720005,0.03937500000000001,0.0006813064036993444,0.0029612212524418036
7,0.022410469436388507,0.40887875559071674,0.006265574883748535,0.40968968226522334,16.85042319627845,0.022255911818294963,0.21687499999999998,0.02422362656492677,0.020581151818237026
8,0.01253055911911704,0.2463745139345389,0.0030665837289427273,0.2506407682546873,9.06056218441578,0.012669260740978214,0.12875,0.02103496061185417,0.003288307468872098
9,0.09492557182282904,0.9060444617239234,0.07073996862542974,0.9079085159616357,61.923250201934216,0.0955811333245021,0.7262500000000001,0.04318578462312431,0.14667376416733097
10,0.009766630394103148,0.21568239919322832,0.0014245860150847195,0.2190840261203236,4.0513581977912105,0.010344389676129332,0.08750000000000002,0.00738462765304615,0.01214028305915249
11,0.009353780336247735,0.25013212570754434,0.001540470921577384,0.25644677602068466,5.895590278748708,0.009810384607563078,0.09562500000000002,0.01272463373160626,0.005971310301346837
12,0.04252958596733179,0.7054605794162034,0.02144502499771867,0.7077822754343455,44.84769533098593,0.04223553234103562,0.5331250000000001,0.047804573028075725,0.037230801310319195
13,0.10018248297618645,0.3548449959190863,0.03919198251756981,0.35896498450087283,13.414817486671517,0.09921538232948206,0.208125,0.0009196638334680518,0.19570835958904786
14,0.017813191613662377,0.36020465717686795,0.004443645831329208,0.3639051011680853,13.101494424135524,0.018999066135940743,0.1975,0.018461932906324002,0.01715835241397856
15,0.010724569398029236,0.22413145786016936,0.0024453044289135507,0.2290551013039783,7.332248543434041,0.011117022348500285,0.13874999999999998,0.01817252681026371,0.0019029697979520144
16,0.06639668191276354,0.6052814089880882,0.038356584576247355,0.6081293416107505,35.368576790628076,0.0695354933572732,0.463125,0.006678040023557277,0.12613706675230912
17,0.007400851685314772,0.18677993942445803,0.0009476191268354697,0.190112062213749,2.864306103543643,0.008059905371744017,0.09250000000000003,0.004877855304723511,0.008983042169310451
18,0.008497612509751179,0.16955831747291006,0.0011299656400312298,0.17227700664631354,3.0789790829833055,0.009513115842553124,0.06125000000000001,0.00275183253896355,0.012991341676315382
19,0.02147709011244544,0.37145810680750213,0.0059100084691413955,0.37740855729942757,14.560403281374226,0.02175275905301568,0.20625,0.015972724711533937,0.027011419376543944
20,0.038739806858659485,0.7410019927355862,0.02095180330751618,0.7446509480882679,49.81457368708827,0.038909073192399855,0.5962500000000001,0.04693996786618623,0.03053153456586044
21,0.1927729666859707,0.9796565100095105,0.15606442211252763,0.9804721649535715,65.93622311881796,0.1925331778778437,0.78125,0.028316878676889905,0.3572121504809465
22,0.014734543173514181,0.21388913837893805,0.0016720310210344954,0.21837092162462474,3.829650940088643,0.016623737731302497,0.09375000000000003,0.02430133356443842,0.0034669261827788844
23,0.04750209286684951,0.5604237447808452,0.023305723200433948,0.5615206245487551,31.20684741327817,0.04737592875189687,0.39062500000000006,0.0840950482658317,0.010912968517121202
24,0.017433613020333458,0.43753879922099836,0.005356049028789941,0.4414311745181102,19.346126386740295,0.01785485037736967,0.24875,0.015000582208016255,0.019824862316597636
25,0.013935406937685697,0.2635233166157751,0.002804422311583843,0.2663571228808808,8.164628305458006,0.015111330131026808,0.12062500000000001,0.008820259846319178,0.019022563423921834
26,0.016498606635087835,0.26309388235688047,0.003363876947663277,0.2657660785728607,7.2523554831640045,0.016732013810539022,0.111875,0.005382710871910001,0.02741944748089814
27,0.0037344242610675817,0.08773200658676124,0.00017996696261365357,0.08894327600307922,0.3786491549487799,0.005191855460540981,0.07562500000000003,0.0008929395501555693,0.0024389607531789537
28,0.022619372782581935,0.4729393601856765,0.009404748516302339,0.4781716122417014,23.7690621153626,0.022848557761561,0.2775,0.007446657059192896,0.037787910051449825
29,0.016924262514870562,0.38931651814372414,0.005702639839219521,0.3920816405569959,16.943962035737346,0.016970928021676705,0.2625,0.006246734428564174,0.027588138005400276
30,0.0210689075586393,0.35856683759491476,0.006871736579888822,0.3621029691919316,15.258350762616418,0.020875673933296104,0.21750000000000003,0.006408485860017965,0.03497358854171209
