k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,19,100,6.713689871127614e-40,-39.173038724209356,2.006564742119214e-32,1.0616312123919432e-32,2988765810.6037865
1,1,11,100,2.876576576307204e-42,-41.54112406028788,1.0918264779217882e-32,9.401166600326069e-33,379557591696.64075
1,2,15,100,1.2442490664133265e-37,-36.90509267644425,8.637556139033499e-31,1.1816251575012652e-31,694198221.8787638
1,3,11,100,1.050690839580523e-35,-34.97852505411058,6.773410097188959e-31,1.0366473661851325e-31,6446525.250766601
1,4,20,100,9.13583564570561e-39,-38.039251722014725,1.503244545559648e-31,3.150620336009574e-32,1645437278.5350037
1,5,11,100,1.2140629572895887e-38,-37.91575879160135,2.030153675471715e-31,5.018532480895488e-32,1672197921.7599747
1,6,12,100,5.7197694841760456e-27,-26.2426214736139,1.7596760780793926e-31,3.6637844748883416e-32,99.99692351923807
1,7,16,100,2.1364947833535115e-46,-45.67029816325565,2.1952374374858453e-37,1.3021158617356268e-37,102749487265.47484
