trial,true_p,context_ones,context_len,target_ones,target_len,true_prob,estimate,std_error,coef_var,rel_error,log10_ratio,p_rollout_mean,p_rollout_std,bayes_mean,target_mode
0,0.9268907886795259,48,50,25,50,3.226136719013804e-22,2.317647846156379e-22,2.2130955011718606e-22,13.50416405052483,-0.28160271928436453,-0.14363532023333292,0.9457999783754348,0.04515249379976001,0.9423076923076923,alternating
1,0.5444591609004775,30,50,25,50,3.8728252442521474e-16,4.1164321536078606e-16,2.2377434740155916e-17,0.7687839983688471,0.06290160128378175,0.02649306132717122,0.6045999836921692,0.09838514112667854,0.5961538461538461,alternating
2,0.17804233652824383,12,50,25,50,1.7924059739981187e-17,3.480525520797708e-17,4.870143826959082e-18,1.978845840847218,0.9418176302068948,0.2882084398284661,0.27079999350011347,0.08304410226949144,0.25,alternating
3,0.6768000120416956,34,50,25,50,1.2359142685684165e-16,1.1819768834188234e-16,1.4057107824786663e-17,1.6819070501660593,-0.043641688199028375,-0.019379363285450424,0.6979999825358391,0.08002524644190263,0.6730769230769231,alternating
4,0.5825890588547459,28,50,25,50,5.308898446895817e-16,5.270396610668855e-16,2.0589178759783803e-17,0.5524725744788888,-0.00725232110052409,-0.0031611196680856324,0.5555999878048897,0.09861997376494758,0.5576923076923077,alternating
5,0.9252386706860234,48,50,25,50,3.226136719013804e-22,3.0560048057381634e-23,1.701142579315032e-23,7.87230079835088,-0.9052735493902951,-1.0235287353592106,0.949199976325035,0.04380120619725944,0.9423076923076923,alternating
6,0.36230508058747124,21,50,25,50,4.627271720405158e-16,4.806280786910437e-16,2.0176602151223893e-17,0.5936820104763204,0.03868566129710784,0.01648413637434132,0.4203999888896942,0.09656650740358148,0.4230769230769231,alternating
7,0.10918596808533076,7,50,25,50,3.5267320515273274e-19,7.346686037356843e-19,3.036553020475012e-19,5.845267434302589,1.0831426742996257,0.3187190157658364,0.14259999632835388,0.07183904447353379,0.15384615384615385,alternating
8,0.35699209780623553,21,50,25,50,4.627271720405158e-16,4.839849248339176e-16,1.9003460926222783e-17,0.5552849023781835,0.045940143734503905,0.019506831768715927,0.42239998787641525,0.09518848750247297,0.4230769230769231,alternating
9,0.3077947128329549,17,50,25,50,1.7596067552499495e-16,2.3819457167318413e-16,1.6369624301651113e-17,0.9719005994020076,0.3536807071381637,0.13151623932664513,0.3513999904692173,0.0900394954736971,0.34615384615384615,alternating
10,0.5147092665499503,31,50,25,50,3.109365070654055e-16,2.7571814929934564e-16,2.090792803195179e-17,1.0724094681124792,-0.11326543189941889,-0.052206360845396205,0.6195999845862389,0.10540848944567843,0.6153846153846154,alternating
11,0.3314455175345356,12,50,25,50,1.7924059739981187e-17,4.434168065245591e-17,8.108939365895341e-18,2.586228545912168,1.4738636947046044,0.39337576713286637,0.25419999297708273,0.08877596090580618,0.25,alternating
12,0.00827877359803869,0,50,25,50,2.082104632888728e-24,1.7512650411779768e-28,8.653917681561976e-29,6.988369815623763,-0.9999158896717526,-4.075150672151366,0.03779999911785126,0.03099625190482358,0.019230769230769232,alternating
13,0.9468550822323887,49,50,25,50,3.608981363673797e-23,1.5763015687694706e-25,7.044274367389949e-26,6.31992541580535,-0.9956322812175321,-2.35974533164811,0.9581999760866166,0.031022312002448545,0.9615384615384616,alternating
14,0.4138104964050502,19,50,25,50,3.1093650706540525e-16,3.7137455547817063e-16,1.9449600925207432e-17,0.74065088750512,0.19437424374247658,0.07714042941127097,0.39139998868107795,0.09881131574609531,0.38461538461538464,alternating
15,0.1259107370527102,8,50,25,50,9.199324965289105e-19,5.777889186130501e-18,3.0888867588928734e-18,7.5604522799553555,5.280775174191187,0.7980132477336852,0.1779999952018261,0.07859883879017476,0.17307692307692307,alternating
16,0.586692984432062,26,50,25,50,6.205049348987466e-16,6.572108847640123e-16,1.6453337157999974e-17,0.3540497136394188,0.059154968479429346,0.024959507823876237,0.5189999862015248,0.0903584321759858,0.5192307692307693,alternating
17,0.007725961169343759,1,50,25,50,3.608981363673791e-23,1.1472780234371272e-25,9.455312376826916e-26,11.655266401532018,-0.996821047526083,-2.4977159648407685,0.04479999899864197,0.03980964719715111,0.038461538461538464,alternating
18,0.13668232855606835,10,50,25,50,4.7366884598148475e-18,1.1449554395650232e-17,2.4718750734737923e-18,3.0531836721319845,1.4172065553362958,0.38331376336167367,0.19959999412298202,0.09047483902866119,0.21153846153846154,alternating
19,0.741282357541908,34,50,25,50,1.2359142685684165e-16,1.2086005254482527e-16,1.320751282607025e-17,1.5454439552653396,-0.02210003057234855,-0.009705567449024954,0.6703999829292298,0.08391818984627594,0.6730769230769231,alternating
20,0.2449524804454821,12,50,25,50,1.7924059739981187e-17,3.361385562249371e-17,5.615624280925083e-18,2.36262454044739,0.8753483368232174,0.2730819476421189,0.2461999923363328,0.086302027099054,0.25,alternating
21,0.855341150191315,40,50,25,50,4.73668845981485e-18,4.710363624286733e-18,1.2826224577054e-18,3.8508748363688343,-0.005557645547401278,-0.0024203868670902295,0.7797999811172486,0.07704097736978932,0.7884615384615384,alternating
22,0.566010141610873,31,50,25,50,3.109365070654055e-16,3.2809650840770564e-16,2.125730721970617e-17,0.9162661411892653,0.055188120250834805,0.023329893096923016,0.6037999853491783,0.11128977351232186,0.6153846153846154,alternating
23,0.8219525024572539,45,50,25,50,3.6424367870887955e-20,1.2827973066577643e-19,5.992362550197832e-20,6.60625053168068,2.521810759228125,0.5467660159041046,0.894999977350235,0.06204429704531847,0.8846153846153846,alternating
