k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
6,0,10,100,6.338682394797361e-36,-35.19800100838617,2.117648631535144e-30,1.7296398856305027e-31,33408241.03430169
6,1,11,100,1.4262035388293738e-35,-34.84581849027482,1.2418869455768165e-30,1.0634763385876712e-31,8707541.733915173
6,2,16,100,1.1129648100604352e-34,-33.953518567056285,1.7042797655016508e-30,1.3085924751331254e-31,1531197.0815394484
6,3,17,100,4.3822989396129913e-35,-34.35829800025862,1.273561220346291e-30,1.0237606146107538e-31,2906048.6628266433
6,4,17,100,1.878128116976975e-35,-34.72627478555322,1.4800412865393047e-30,1.0712796976965574e-31,7880306.417223397
6,5,11,100,5.477873674516235e-35,-34.261387987250565,1.1595989026184195e-30,8.258344193161279e-32,2116777.7732371246
6,6,17,100,4.563851324254061e-36,-35.34066851195491,2.0245610615310822e-30,2.2893388997410066e-31,44360702.263031356
6,7,13,100,2.921532626408715e-35,-34.534389259314295,1.0975892569793389e-30,7.995593562117433e-32,3756795.4289877196
