trial,true_p,true_q,context_ones,context_len,target_ones,target_len,true_prob,estimate,std_error,coef_var,rel_error,log10_ratio,p_rollout_mean,p_rollout_std,q_rollout_mean,q_rollout_std,bayes_p_mean,bayes_q_mean,target_mode
0,0.6641166769233291,0.09843891692200041,53,60,40,60,2.0808900511554992e-20,3.0069673843671745e-19,2.1668194587855742e-19,5.0954085530817785,13.450390508126237,1.1598795836484683,0.7698638397743467,0.15595693388461104,0.12416173490930102,0.05485550447860462,0.5555555555555556,0.09259259259259259,bernoulli
1,0.24832388549535023,0.21593462962880272,30,60,19,60,4.116059102828711e-20,1.6500192084078547e-17,2.0105191657864834e-18,0.8615970823787746,399.87354607563805,2.6030073978009227,0.35806489280517323,0.08355219508936373,0.44525711656025113,0.13272553076397572,0.21875,0.22580645161290322,bernoulli
2,0.20831531097652728,0.7808850559901963,15,60,14,60,5.2121229735004246e-15,3.575014793613184e-15,3.8183550005918077e-16,0.7552373541837066,-0.314096230693454,-0.16373681051877575,0.3397010876952738,0.0937701765043244,0.8036617650009976,0.09007884131190771,0.30434782608695654,0.8235294117647058,bernoulli
3,0.8810104982243507,0.2989169580173956,50,60,54,60,9.783577134032566e-10,6.992188185650465e-10,1.4427860363997017e-10,1.4590622606999861,-0.28531373649338776,-0.14588456509431325,0.8012827635566893,0.11655421950960124,0.22207851331811015,0.09018492720441491,0.8333333333333334,0.19607843137254902,bernoulli
4,0.7877791054337019,0.8509034238000672,26,60,41,60,2.469133884731133e-23,9.967182174532561e-19,4.451115638740871e-19,3.157777190068032,40366.119159348054,4.606027756647332,0.6675540235712405,0.08641523817485164,0.6948619217559899,0.11546769200708538,0.7428571428571429,0.9285714285714286,bernoulli
5,0.5116734097065787,0.2704681409619168,41,60,28,60,2.5546273128788514e-20,3.6835634528921144e-20,1.6353713389307605e-20,3.1393029556967242,0.4419181358947605,0.15894060425414125,0.7332822276502812,0.12268651335693134,0.38836211997075315,0.08165199862873833,0.5714285714285714,0.2857142857142857,bernoulli
6,0.7918174364876701,0.24238666703758593,45,60,50,60,4.789492208951128e-13,7.085214523097611e-13,8.206578359654711e-14,0.8190192674524154,0.4793247830857696,0.17006353303477617,0.7754676642906249,0.10847711906031839,0.2446933902392905,0.08623433593226792,0.8823529411764706,0.30434782608695654,bernoulli
7,0.7173203470112387,0.6169461841307127,30,60,45,60,2.6545505132710247e-18,1.7941934632705922e-16,5.1485420894785873e-17,2.0290838748561484,66.58935097677715,1.8298782761733694,0.6821416310644262,0.08223685919874078,0.5510430152648373,0.11292169799908788,0.625,0.6451612903225806,bernoulli
8,0.8846665326726503,0.2587173697457769,50,60,56,60,1.273357053647086e-07,3.395429395264536e-07,3.888096668693727e-08,0.8097059901102622,1.6665179146253721,0.4259445057750586,0.7259452736590895,0.1512141899808056,0.12082218123516894,0.05484975428468273,0.75,0.1568627450980392,bernoulli
9,0.7692126157580745,0.5163485331674428,39,60,50,60,1.6417944623439508e-14,8.837529298422154e-15,6.057471245991667e-15,4.846692837157515,-0.46171524504930883,-0.26898791989552606,0.8161372987456657,0.08320978269381653,0.4631463609590128,0.0966265720838454,0.7727272727272727,0.43902439024390244,bernoulli
10,0.2584000623353607,0.19931359391667008,40,60,16,60,6.103161373290525e-21,2.9328793821602756e-19,1.1318763694607342e-19,2.7289136443141917,47.05508494328098,1.681739349256695,0.1870930767812297,0.11951278720389906,0.28144523576619684,0.12103650653798191,0.23809523809523808,0.14285714285714285,bernoulli
11,0.4980100716480144,0.5744521765537879,23,60,34,60,8.276145689995035e-20,5.844503782818379e-20,1.686152358106015e-20,2.0400188122651812,-0.2938133278775225,-0.15108048314545286,0.3852126458401856,0.08142446744957586,0.5508565620293228,0.13685370682293801,0.4358974358974359,0.6666666666666666,bernoulli
12,0.21590418868563177,0.06340542508420902,47,60,16,60,1.9721276212152258e-23,8.886655898673043e-21,8.157236558362429e-21,6.490672477846444,449.61261771675214,2.653803348346621,0.5004241587351503,0.14312984109026125,0.13486530549165554,0.06351981337278595,0.3333333333333333,0.08333333333333333,bernoulli
13,0.4740199060014147,0.7054189953649355,26,60,27,60,6.89445922576272e-19,1.3494852783241186e-19,4.814165806305251e-20,2.5225390317872325,-0.8042652463181653,-0.708332056343945,0.4033132768098543,0.09318012992454149,0.4715323098277322,0.12503115293241387,0.4,0.5357142857142857,bernoulli
14,0.8767404425961889,0.6129806051619177,37,60,55,60,1.0166921875189767e-13,1.467309428908577e-13,1.1528223210571702e-13,5.5555322187841725,0.4432189476042271,0.15933222196196262,0.7776373037947663,0.10524309636164984,0.4814319737592566,0.08328863514085633,0.88,0.5526315789473685,bernoulli
