context_id,teacher_forced_true_prob,posterior_estimate,true_post_mean_state_0,true_post_sd_state_0,sampled_post_mean_state_0,sampled_post_sd_state_0,true_post_mean_state_1,true_post_sd_state_1,sampled_post_mean_state_1,sampled_post_sd_state_1,true_post_mean_state_2,true_post_sd_state_2,sampled_post_mean_state_2,sampled_post_sd_state_2,true_post_mean_state_3,true_post_sd_state_3,sampled_post_mean_state_3,sampled_post_sd_state_3
0,2.680205120203599e-44,5.954869970902436e-42,0.4921875,0.031185335576742582,0.5728926237523015,0.0449061415144431,0.043596730245231606,0.010644458570220545,0.047561629425320016,0.013398294805933596,0.6584699453551912,0.024754229342717034,0.6178247400251267,0.035072584938913666,0.058823529411764705,0.0554593553871802,0.08055846397365922,0.06331699398303041
1,6.898181325310067e-37,1.6412853561343632e-36,0.47692307692307695,0.02525914058662101,0.5338846923081333,0.037292606573378545,0.11272727272727273,0.019036562333407506,0.11389066915075978,0.021925064334865966,0.32,0.028078564726521354,0.27183695338276137,0.03308329734627132,0.5303030303030303,0.06097243399096751,0.5648270198786015,0.08859526219208802
2,9.999432586079456e-35,4.1178069611326474e-35,0.5890909090909091,0.02961484705966299,0.6157699959113525,0.044643721815438915,0.128125,0.01865484029920345,0.14177662821846085,0.02432430206954517,0.49375,0.027905098267983118,0.5120062838926889,0.034078068049839635,0.5494505494505495,0.05187303093790842,0.4756272053676704,0.07787350467981811
3,2.060788656459513e-36,6.468428525683599e-36,0.5294117647058824,0.04022137992693104,0.5373474037610485,0.061265255679625756,0.2553191489361702,0.028383816193497852,0.28270346411374603,0.03594849671847569,0.6553191489361702,0.030937057613597482,0.6707036953882526,0.03660435510410877,0.8433420365535248,0.018548658274651204,0.8400398366941987,0.02931754634427294
4,2.266326921323717e-52,5.168207506457995e-49,0.034178610804851156,0.006029519286686632,0.021547650476015635,0.007241875475362656,0.0975609756097561,0.04578490904628809,0.06270315835674369,0.044805749788952604,0.21951219512195122,0.06386865080077826,0.5008345734903474,0.10698008465102621,0.7647058823529411,0.09998077477632912,0.521326659421819,0.2872413449888774
5,4.104657992981502e-36,5.237074592004934e-35,0.6232876712328768,0.03996598469702135,0.6852428664294027,0.05403953730911771,0.5032258064516129,0.040031205309647926,0.5458233794987905,0.050804221390175,0.4129032258064516,0.03942000597811475,0.3931636005233696,0.04553252188309854,0.86,0.014782144524161992,0.8519906788177687,0.021723550005339612
6,1.6182299496958517e-47,6.972414834689479e-47,0.6666666666666666,0.14907119849998599,0.7188717326582524,0.21745340093122312,0.5454545454545454,0.14373989364401724,0.505383727340472,0.17642031674658962,0.45454545454545453,0.14373989364401724,0.6964883646077233,0.16267452318134695,0.9938461538461538,0.002503271697592609,0.9918116890053617,0.0051973890304406745
7,8.236146635943814e-34,2.0868526208804126e-33,0.39655172413793105,0.036978638947460715,0.4436259779111238,0.05665907660593417,0.5528846153846154,0.03439172159316437,0.49053752784295845,0.04416329579619369,0.6682692307692307,0.0325683283184159,0.6952709107884399,0.03574179862455042,0.7235576923076923,0.02190134618082907,0.7482315477457226,0.031745910242497045
