k,context_id,context_len,target_len,context_t01,context_t10,target_t01,target_t10,context_t00,context_t11,target_t00,target_t11,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
2,0,1000,100,365,365,24,25,254,15,25,25,1.3818079748187047e-61,-60.85955230520418,5.954869970902436e-42,5.304633789424397e-42,4.3094772062548876e+21
2,1,1000,100,273,273,24,25,389,64,25,25,3.7697590279091446e-50,-49.42368641005789,1.6412853561343632e-36,5.332535580605187e-37,4353820347622183.0
2,2,1000,100,319,318,24,25,273,89,25,25,5.0353673110065234e-42,-41.29796884381445,4.1178069611326474e-35,5.069716488372286e-36,817776778.38815
2,3,1000,100,234,233,24,25,151,381,25,25,1.6262494491846126e-28,-27.788812837527125,6.468428525683599e-36,1.0555393457668175e-36,99.99999602248687
2,4,1000,100,39,39,24,25,906,15,25,25,8.257714684990146e-73,-72.08314012665325,5.168207506457995e-49,4.714420220560961e-49,6.258641408199929e+25
2,5,1000,100,153,153,24,25,144,549,25,25,2.2787218564316606e-24,-23.642308682098637,5.237074592004934e-35,8.349215114850614e-36,99.99999999770175
2,6,1000,100,9,9,24,25,7,974,25,25,4.7746004012088115e-22,-21.32106296980001,6.972414834689479e-47,4.929906910192132e-47,100.0
2,7,1000,100,206,207,24,25,172,414,25,25,5.156484807649074e-25,-24.287646257457375,2.0868526208804126e-33,2.792428787746189e-34,99.99999959529549
