k,model_config,rollout_length,train_seq_len,max_seq_len,batch_size,step1_eval_model_nll,step1_eval_bayes_nll,step1_gap_pct,step2_posterior_mae,step3_lpe_rel_error_median_pct,checkpoint_path
1,L2_D64_H4_M256,200,200,232,64,0.5930856484264585,0.5301846912951624,11.863970832058236,0.20106637623517548,99.7092061813255,checkpoints/markov_k_v2/k1/best.pt
2,L2_D64_H4_M256,400,400,432,32,0.6528443453604715,0.5406512721375593,20.751467536428308,0.2308225213198689,5.968812743948536e+25,checkpoints/markov_k_v2/k2/best.pt
3,L3_D96_H6_M384,800,800,832,16,0.6316517625792005,0.49270679633512093,28.200334819326173,0.1713317857950175,12082995.169389827,checkpoints/markov_k_v2/k3/best.pt
4,L3_D96_H6_M384,1600,1600,1632,8,0.6141271919217088,0.44591746449822134,37.722166278633935,0.23309987318434416,1618087.603753425,checkpoints/markov_k_v2/k4/best.pt
5,L4_D128_H8_M512,3200,3200,3232,4,0.6903107843759768,0.5122278554158871,34.76634998998657,0.06178306040168231,53197.69784367808,checkpoints/markov_k_v2/k5/best.pt
6,L4_D128_H8_M512,6400,6400,6432,2,0.6837369379614979,0.4858326985560066,40.73505961902172,0.03831294173149895,5818550.923105558,checkpoints/markov_k_v2/k6/best.pt
7,L4_D128_H8_M512,12800,12800,12832,1,0.6924538477127119,0.5354576768051804,29.31999627762412,0.021809947415700803,910.3847036824368,checkpoints/markov_k_v2/k7/best.pt
