k,state,true_mean,sample_mean,sample_std,abs_err
3,0,0.5,0.5405612215656334,0.29437868555217095,0.040561221565633354
3,1,0.3333333333333333,0.31880097296867976,0.23512714236313842,0.014532360364653552
3,2,0.6666666666666666,0.6797358341532435,0.247451926064051,0.013069167486576827
3,3,0.6,0.5931394777358706,0.20042758993264773,0.006860522264129365
3,4,0.6666666666666666,0.6529487306831653,0.23444651274470263,0.01371793598350135
3,5,0.8,0.793069704755748,0.16584733678941146,0.006930295244252038
3,6,0.75,0.756060534059672,0.18735681350064026,0.006060534059671996
3,7,0.25,0.24677668499449998,0.2027575413928469,0.0032233150055000215
