k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,15,100,2.106417674122837e-27,-26.67645550989239,2.449483262384997e-32,8.325433772167743e-33,99.99883713316096
1,1,11,100,3.401900234028079e-36,-35.46827842689229,2.266344501592173e-32,8.850412683500272e-33,666099.5783776024
1,2,17,100,1.7913623252491696e-27,-26.746816563820587,2.1285505079664438e-32,6.729422179885778e-33,99.99881176997086
1,3,17,100,2.9156792006692194e-29,-28.53526026123312,1.0872948198526847e-31,1.530585709532718e-32,99.62708695126571
1,4,12,100,2.050160988086277e-26,-25.68821203480162,3.278745639892393e-32,9.752738706336022e-33,99.99984007374744
1,5,11,100,1.5158264281942325e-30,-29.819350525348497,4.121098632353576e-32,1.0245510139902239e-32,97.28128593373125
1,6,13,100,1.5960420892976413e-35,-34.79695566003498,3.2157928343798063e-32,8.812213933676567e-33,201385.4655740913
1,7,15,100,1.1553788311934646e-46,-45.93727559384851,5.083342742822424e-36,3.140853287472124e-36,4399719473357.476
