k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
3,0,10,100,9.97694249811709e-36,-35.001002530820905,5.747181521873187e-31,5.139719322091145e-32,5760363.712162148
3,1,10,100,3.884310606603678e-31,-30.41068604927369,6.048610127818825e-31,4.3554846953165476e-32,55.71901272611007
3,2,20,100,1.7964954520496544e-40,-39.74557387790394,7.99406753846319e-31,6.78267840595497e-32,444981228733.2048
3,3,11,100,1.915201068638498e-32,-31.71778562461118,2.770560914973083e-31,2.812816299981113e-32,1346.6162119169312
3,4,13,100,1.1840789809378782e-36,-35.92661932815238,5.146549568538514e-31,5.630256228577926e-32,43464480.07777544
3,5,13,100,4.0419060223408385e-38,-37.39341378840935,5.8471364692796785e-31,4.894512755427532e-32,1446628405.7002277
3,6,11,100,1.691402338674785e-37,-36.77175307325235,5.632564836725098e-31,4.6065463748044174e-32,333011431.7883631
3,7,10,100,2.5294655964859325e-34,-33.59697122309784,6.9982733439326275e-31,5.159967868732767e-32,276570.0347162262
