k,baseline_name,rollout_length,num_posterior_samples,step2_posterior_mae,step2_posterior_rmse,step3_lpe_rel_error_median_pct,step3_lpe_rel_error_mean_pct
1,true_bayes_predictive,200,500,0.0024342535003635812,0.002437758687827619,3751645378.0524926,424076980768118.9
2,true_bayes_predictive,400,500,0.009008767685564991,0.01594788116646895,99.99999996614184,1.5293879757071925e+25
3,true_bayes_predictive,800,500,0.005992307546742879,0.0074201929667546,99.99999919472282,17381128589.60972
