trial,true_p,context_ones,context_len,target_ones,target_len,true_prob,estimate,std_error,coef_var,rel_error,log10_ratio,p_rollout_mean,p_rollout_std,bayes_mean,target_mode
0,0.6641166769233291,34,50,37,50,2.0032632636564815e-13,1.9541835702231964e-13,1.1356195221142891e-14,0.5811222340716868,-0.024499871945787954,-0.010772669259484502,0.7534999793767929,0.0606393898675773,0.6730769230769231,bernoulli
1,0.09843891692200041,5,50,3,50,5.749266575967103e-06,4.585898523939393e-06,3.1715568675076536e-07,0.6915889767188335,-0.20235068884973667,-0.09818800552578733,0.1185999967996031,0.051724433016055595,0.11538461538461539,bernoulli
2,0.24832388549535023,14,50,16,50,1.6122843168261413e-14,9.68324718355414e-15,7.859395357331152e-16,0.8116487381091968,-0.399408213396501,-0.22142061129316204,0.25439999423921106,0.07796172172162516,0.28846153846153844,bernoulli
3,0.21593462962880272,10,50,10,50,9.67752403086657e-12,1.0847270311739447e-11,2.682638575854427e-13,0.24731001429466956,0.1208724749369733,0.04955620440440356,0.17664999501779677,0.05686338481493613,0.21153846153846154,bernoulli
4,0.20831531097652728,14,50,6,50,8.8354537580509e-10,2.556552544147346e-09,2.517961991465734e-10,0.9849052378094257,1.8935158444101472,0.46142586483022363,0.25584999296814204,0.07390253790596925,0.28846153846153844,bernoulli
5,0.7808850559901963,41,50,40,50,9.559505445124291e-12,4.465376297020481e-12,3.8315236694676817e-13,0.8580516880568975,-0.5328862646029464,-0.3305773621717698,0.8594999790191651,0.05352640149493151,0.8076923076923077,bernoulli
6,0.8810104982243507,41,50,44,50,4.993793403690913e-09,8.380430226002472e-09,2.1607091511295865e-10,0.2578279506970206,0.6781691889393131,0.22483574321418942,0.8541999813914299,0.05456414918490633,0.8076923076923077,bernoulli
7,0.2989169580173956,13,50,10,50,7.2063159713779995e-12,1.0349436921882728e-11,3.347406417831773e-13,0.32343850618134173,0.4361619672227192,0.15720342145534083,0.23974999368190766,0.07296613963629665,0.2692307692307692,bernoulli
8,0.7877791054337019,49,50,36,50,9.965926066395043e-17,3.191648930955479e-17,9.632461899804829e-18,3.018020499178515,-0.6797438682875971,-0.49450254638150426,0.9282499819993972,0.02894176348062912,0.9615384615384616,bernoulli
9,0.8509034238000672,46,50,43,50,8.210849354945854e-10,5.223468773995362e-10,2.9761729791150866e-11,0.569769459316333,-0.3638333200146981,-0.19642908134225756,0.922249983549118,0.03439991861719811,0.9038461538461539,bernoulli
10,0.5116734097065787,25,50,27,50,6.848348342719227e-16,5.233047194579287e-16,3.758342603229471e-17,0.718193905669835,-0.2358672583962871,-0.11683119124306884,0.5409499855339527,0.10144482394632233,0.5,bernoulli
11,0.2704681409619168,18,50,11,50,7.345298633407095e-13,1.5013566978633607e-12,1.3343964538942316e-13,0.8887937528724942,1.0439695821692696,0.310474428451748,0.334999992325902,0.07737528361131842,0.36538461538461536,bernoulli
12,0.7918174364876701,45,50,42,50,1.504623467086092e-10,5.824106851398559e-11,5.820436586150566e-12,0.9993698149189842,-0.6129193131170728,-0.41219849695646715,0.920549983382225,0.0398640604094407,0.8846153846153846,bernoulli
13,0.24238666703758593,13,50,10,50,7.206315971377992e-12,1.0694019387649834e-11,3.0637543907298304e-13,0.28649231684281945,0.483978697315561,0.17142766664064624,0.23314999289810656,0.07031570734236428,0.2692307692307692,bernoulli
14,0.7173203470112387,36,50,29,50,4.324535048376414e-16,2.628746368571377e-17,1.4968304657734096e-17,5.694084768576892,-0.9392132023636088,-1.2161907354686274,0.7817499801516533,0.06828433676024655,0.7115384615384616,bernoulli
15,0.6169461841307127,30,50,27,50,6.2434637270974e-16,1.0377206296842183e-16,2.143354714699698e-17,2.0654448349474634,-0.8337908771407796,-0.7793451424130176,0.6628999853134155,0.08449429565173833,0.5961538461538461,bernoulli
16,0.8846665326726503,45,50,46,50,5.624282519967815e-07,8.252787025741061e-07,9.069085655245968e-09,0.10989118738868227,0.46734930125599167,0.16653350958328605,0.9134999811649323,0.04040933955293341,0.8846153846153846,bernoulli
17,0.2587173697457769,13,50,12,50,7.388567298063564e-13,6.912529942216966e-13,2.8681440369397034e-14,0.414919582398198,-0.06442891248637074,-0.028923207905325654,0.23679999385029077,0.07366063576764625,0.2692307692307692,bernoulli
18,0.7692126157580745,36,50,44,50,8.835453758050895e-10,6.569072002229019e-09,3.008682411268899e-10,0.4580072208445869,6.434900551930634,0.8712751638416165,0.7864999800920487,0.06536138189190892,0.7115384615384616,bernoulli
19,0.5163485331674428,24,50,28,50,6.584950329537723e-16,6.524661026973684e-16,4.404737878905463e-17,0.6750906845115447,-0.009155619943494873,-0.003994549540786707,0.5042999865859747,0.08956909527422703,0.4807692307692308,bernoulli
20,0.2584000623353607,12,50,16,50,1.2263072315903714e-14,5.6890224816743185e-15,6.627834301260427e-16,1.1650216399408233,-0.5360850580407694,-0.3335616393244436,0.22294999402016402,0.071120233520226,0.25,bernoulli
21,0.19931359391667008,8,50,8,50,2.01430322165684e-10,2.3530135739870926e-10,5.760240250584647e-12,0.24480267832982103,0.1681526141092355,0.06749958518712518,0.15819999570958315,0.05567096263571842,0.17307692307692307,bernoulli
22,0.4980100716480144,20,50,24,50,4.819515859513783e-16,3.654132141873055e-16,3.45833966759914e-17,0.9464188850670423,-0.24180514217838833,-0.12021916534254729,0.3884499906003475,0.0892576699745754,0.40384615384615385,bernoulli
23,0.5744521765537879,30,50,28,50,8.421416190038354e-16,1.9720802567931733e-16,3.378267846053565e-17,1.7130478510783396,-0.7658255794166858,-0.6304605456694024,0.665149984806776,0.08723546994310595,0.5961538461538461,bernoulli
