k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,100,100,3.9249792435167467e-45,-44.40616263559388,1.3274852273750162e-31,2.6746548592057505e-32,3382145853555042.0
1,1,100,100,2.0582781812641913e-15,-14.686495929659307,2.9145873469596586e-50,2.805215648534369e-50,100.0
1,2,100,100,4.184868447540188e-40,-39.37831818961943,1.6326176601192962e-30,1.2732016335538105e-31,390124009910.14215
1,3,100,100,8.154543635051045e-32,-31.088600339016708,1.5626564555054926e-31,3.828454640516365e-32,91.63015435819798
1,4,100,100,2.18044515782667e-40,-39.66145483215165,1.636051399691473e-32,3.852770924689253e-33,7503290656.104985
1,5,100,100,1.4855330420525747e-34,-33.82811768393334,1.0878434597946776e-35,9.414956267104142e-36,92.67708338354026
1,6,100,100,3.6324353441656106e-30,-29.439802107221816,3.364095001204247e-32,9.055738942386427e-33,99.07387339829528
1,7,100,100,3.8415796833492626e-42,-41.415490154098954,3.8693793857722483e-31,4.700987651259147e-32,10072365288959.287
