k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,100,100,8.516482085893163e-32,-31.06973976276714,2.5825369849779502e-31,1.292847786547375e-32,203.23987756114767
1,1,100,100,1.3932310235391881e-15,-14.855976863526267,1.1899870321640308e-39,7.749976422679342e-40,100.0
1,2,100,100,9.757058991756361e-42,-41.01068106923196,4.502381106040959e-32,5.7651582022074754e-33,461448589054.27014
1,3,100,100,1.2205847684943389e-46,-45.91343205384537,5.042223635795067e-44,3.767256524583534e-44,41209.90133536517
1,4,100,100,4.312985908812246e-47,-46.36522196075854,8.971463978418597e-51,5.830031472350317e-51,99.97919894901561
1,5,100,100,1.699333993595129e-22,-21.769721254844946,8.122218770609335e-38,7.256255104124767e-38,99.99999999999996
1,6,100,100,6.154220006788739e-27,-26.210826982247408,4.1273335713510323e-35,1.6747368644941222e-35,99.99999932934904
1,7,100,100,2.2161215000469756e-67,-66.65440643286352,3.6368567513548787e-40,3.5868196412678967e-40,1.6410908658563113e+29
