trial,true_p,context_ones,context_len,target_ones,target_len,true_prob,estimate,std_error,coef_var,rel_error,log10_ratio,p_rollout_mean,p_rollout_std,bayes_mean,target_mode
34,0.7076767427341284,35,50,34,50,1.7136279024552123e-14,5.58976733943968e-15,5.84917138245412e-16,1.0464069481361353,-0.6738050698502923,-0.4865227932194607,0.7544999843835831,0.07151448344681684,0.6923076923076923,bernoulli
35,0.300078761269035,18,50,15,50,3.093441673869493e-14,3.257596608290076e-14,1.6368194327516491e-15,0.502462284184051,0.05306546937904488,0.022455372236001025,0.3351999916881323,0.08936942476430101,0.36538461538461536,bernoulli
36,0.7673391978651181,41,50,33,50,1.8084127062440566e-15,2.2692293834216065e-16,8.035423763208958e-17,3.5410363632313473,-0.8745181685802997,-0.901419151357258,0.8425499799847603,0.05347236681703261,0.8076923076923077,bernoulli
37,0.8286995415593629,45,50,41,50,2.421233165425897e-11,2.35668217353143e-11,1.910014101509926e-12,0.8104674117544738,-0.02666037819745136,-0.01173559740960961,0.888449978530407,0.05173470797448304,0.8846153846153846,bernoulli
38,0.3194941060737115,17,50,11,50,9.947238274708049e-13,2.52410476269196e-12,1.149220849576247e-13,0.4552983959154698,1.5374930136234648,0.4044048551975443,0.3026499929279089,0.08328963346726392,0.34615384615384615,bernoulli
39,0.5243378756272672,21,50,26,50,4.02744020109338e-16,2.7869255213675434e-16,3.275373536572524e-17,1.1752641078708481,-0.30801566697105986,-0.1599037381387678,0.39104999028146264,0.08802921508293389,0.4230769230769231,bernoulli
40,0.1143381259610572,5,50,6,50,7.553981406550172e-09,6.323893543918802e-09,2.0821705278539094e-10,0.32925451913341763,-0.1628396730715728,-0.07719136108384994,0.09334999750368297,0.04320428729887673,0.11538461538461539,bernoulli
41,0.5749145691359522,27,50,25,50,5.853289181811304e-16,2.840065431205061e-16,3.2003094617872616e-17,1.1268435672727957,-0.5147915397670134,-0.31407163525709514,0.5709499853849411,0.09327970062545426,0.5384615384615384,bernoulli
42,0.2641157596666558,12,50,13,50,2.5276677598638516e-13,1.4861938172972792e-13,9.606339110583835e-15,0.6463718930047403,-0.41202960258616805,-0.2306445388276952,0.20579999456182121,0.06770731991679486,0.25,bernoulli
43,0.7384672814932836,41,50,39,50,2.3603717148455047e-12,1.5456577137833255e-12,9.57864403059771e-14,0.6197131451019608,-0.34516343164852126,-0.1838670760685659,0.838549981713295,0.051230069138603576,0.8076923076923077,bernoulli
44,0.2062684725578623,11,50,14,50,7.777439261119548e-14,3.67627820539168e-14,3.4342034877227793e-15,0.93415223110322,-0.5273150863716952,-0.3254282585655748,0.1973999946191907,0.06193074224609093,0.23076923076923078,bernoulli
45,0.3314680306256902,15,50,20,50,1.0378884116103395e-15,2.997323915897183e-16,5.375563508148637e-17,1.7934543142427033,-0.7112094246002155,-0.5394169839509253,0.25749999362975357,0.06930922463062994,0.3076923076923077,bernoulli
46,0.06302702911106027,4,50,4,50,6.24920279996424e-07,8.318697452781752e-07,1.039424948808992e-08,0.12495044503168111,0.3311613847496444,0.12423071081459724,0.0794499978236854,0.033732578625297376,0.09615384615384616,bernoulli
47,0.07929672944593044,4,50,1,50,0.0015446132242090183,0.001642298595737352,6.061053469867232e-05,0.369059164125143,0.0632426098632927,0.026632372804592297,0.08219999783672392,0.03586910773170597,0.09615384615384616,bernoulli
48,0.49703165761580637,25,50,25,50,6.326716983281334e-16,4.3486425432343774e-16,3.0908173348091086e-17,0.7107545180087993,-0.3126541688642178,-0.16282469705447156,0.5097499909996986,0.09621707856571073,0.5,bernoulli
49,0.4714812809839185,31,50,24,50,2.498596931775578e-16,3.240999493591277e-17,1.2747179782941209e-17,3.9331014423628785,-0.8702872219054506,-0.8870172391618496,0.6726499834656715,0.08480825240424485,0.6153846153846154,bernoulli
