k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
3,0,100,100,2.416048339264594e-47,-46.61689438078523,4.214706588017073e-37,3.92853228109626e-37,1744462856673.785
3,1,100,100,9.946015965645111e-39,-38.002350847960614,3.458935546084461e-33,5.8786953611487035e-34,34776996.25675339
3,2,100,100,3.1210135644243556e-35,-34.50570434381725,2.5081375253589683e-41,1.624296245207158e-41,99.99991963708348
3,3,100,100,1.4004783000284893e-39,-38.8537236160449,5.683658886375595e-38,2.5665283969744996e-38,3958.3698342630328
3,4,100,100,1.77131399839387e-34,-33.751704445200545,1.8759824059995382e-35,9.69950064017526e-36,89.40909173810756
3,5,100,100,3.377859449435107e-32,-31.471358425103865,4.7024539556335095e-37,2.4571219285155527e-37,99.99860785979227
3,6,100,100,1.3315775905918126e-30,-29.875633522289935,8.413518511347038e-34,2.0734651976639305e-34,99.93681540924996
3,7,100,100,6.121675964108625e-28,-27.213129662442704,3.138834732542222e-37,3.020974098128009e-37,99.99999994872589
