k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,19,100,6.713689871127614e-40,-39.173038724209356,3.142073252344537e-32,2.4881949856621104e-32,4680098791.456245
1,1,11,100,2.876576576307204e-42,-41.54112406028788,2.33976267741378e-32,2.339760781725212e-32,813384457204.2595
1,2,15,100,1.2442490664133265e-37,-36.90509267644425,7.577514976810241e-31,1.7332585155066537e-31,609002967.0991937
1,3,11,100,1.050690839580523e-35,-34.97852505411058,6.3836480075389785e-31,1.6703038512460932e-31,6075567.329590102
1,4,20,100,9.13583564570561e-39,-38.039251722014725,1.4797537232230668e-31,4.8788311602799595e-32,1619724444.758683
1,5,11,100,1.2140629572895887e-38,-37.91575879160135,1.055029031226128e-31,4.4502746889735415e-32,869006754.126819
1,6,12,100,5.7197694841760456e-27,-26.2426214736139,1.9147002629001026e-31,5.696507618801912e-32,99.99665248701332
1,7,16,100,2.1364947833535115e-46,-45.67029816325565,2.9444380351221175e-37,2.0801262966039244e-37,137816298730.3876
