k,transformer_step2_posterior_mae,bayes_baseline_step2_posterior_mae,step2_mae_diff,step2_mae_ratio,transformer_step3_lpe_median_rel_error_pct,bayes_baseline_step3_lpe_median_rel_error_pct,step3_rel_error_diff_pct,step3_rel_error_ratio
1,0.016006808424533392,0.00833488280763263,0.007671925616900763,1.9204599265481253,99.99933860345419,1244365599.442751,-1244365499.4434123,8.03617029016518e-08
2,0.16419261917220546,0.022853803216369324,0.14133881595583614,7.184476807545119,2.9703638606604206e+18,61045210.534489974,2.9703638605993754e+18,48658426019.879036
3,0.06466420477049831,0.019020066459048524,0.04564413831144978,3.3997885816921127,128.16316687615304,95.29760104589056,32.86556583026248,1.344872960804502
