k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
3,0,10,100,9.97694249811709e-36,-35.001002530820905,3.014006789625157e-31,3.7906572468530497e-32,3020872.397299051
3,1,10,100,3.884310606603678e-31,-30.41068604927369,2.8068887811280813e-31,3.6151882353994734e-32,27.737787592060286
3,2,20,100,1.7964954520496544e-40,-39.74557387790394,1.6313125511051387e-31,2.5365561116065535e-32,90805270196.89635
3,3,11,100,1.915201068638498e-32,-31.71778562461118,1.1265844764839997e-31,2.4861773827022497e-32,488.2330032767161
3,4,13,100,1.1840789809378782e-36,-35.92661932815238,2.5037608111857685e-31,3.680479978010705e-32,21145117.941480603
3,5,13,100,4.0419060223408385e-38,-37.39341378840935,1.2363357129587164e-31,2.4641343564193596e-32,305879281.19419765
3,6,11,100,1.691402338674785e-37,-36.77175307325235,2.739158746721936e-31,3.521191010896299e-32,161945918.64320874
3,7,10,100,2.5294655964859325e-34,-33.59697122309784,3.292235470947604e-31,3.793628094464048e-32,130055.37651594674
