metric,mean,median,std,p90,p95,min,max,perfect_match_expected_mean
wasserstein1,0.03857316059811808,0.03263705202685148,0.020110168841791416,0.0639067512829776,0.07184419385976507,0.010968751663041875,0.11292813233608848,0.002773382404511785
ks_cdf,0.4127538177226464,0.3931611923530534,0.10651006571534803,0.5562977001494707,0.5844840157527291,0.22354466900926923,0.6509001975671329,0.057945689462458476
cvm_int,0.01456234034350634,0.011167913934878008,0.011218746319364124,0.025422526122453964,0.036879369393547724,0.0024935689106174654,0.050990092803631475,8.649264107756222e-05
pit_ks,0.4147521525991346,0.39672031019517723,0.1063201817943948,0.5579137907008026,0.5870134001116553,0.22459755342357235,0.6525167010366414,0.060478576741864305
pit_cvm,18.852689985350644,17.161342261729075,8.607743874470229,30.642427291220436,33.06498835195653,5.747740979095119,40.08065652637385,0.1650766559318157
quantile_rmse,0.0411906963180239,0.03513844119299167,0.02091086651693509,0.06569479689690583,0.07834714405716611,0.011901441050023494,0.11777857262674402,0.003409403863903898
coverage_mae,0.2876875,0.275,0.09225629738574807,0.40603125000000007,0.4495937499999999,0.1375,0.485,0.019933506944444446
