k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
1,0,2000,100,1.6321173783545992e-38,-37.78724861093841,1.7891790109938318e-35,1.2054201260060486e-35,109523.18242071367
1,1,2000,100,2.823863612202765e-74,-73.54915628279662,1.4416679448488473e-36,1.088109890475761e-36,5.105303027451347e+39
1,2,2000,100,1.8336595663986223e-17,-16.736681291434977,5.7628602116914035e-34,2.5717469330720066e-34,100.0
1,3,2000,100,1.7822993452227602e-39,-38.74901935245378,2.8702091732567347e-33,1.3034674442514263e-33,161039580.6209903
1,4,2000,100,2.623565178032322e-31,-30.58110814202094,1.0390881994834464e-31,1.2517909707386898e-32,60.39403906623109
1,5,2000,100,1.4387318191195258e-35,-34.84202015139409,1.7112451238016295e-32,3.7474207721597506e-33,118841.21621977306
1,6,2000,100,7.178946830418393e-55,-54.14393926317914,2.7281999341886077e-35,2.4763928815842736e-35,3.8002787855020327e+21
1,7,2000,100,7.285650866909227e-50,-49.13753164426727,9.320545218819343e-33,2.8923452252501764e-33,1.2793016559649358e+19
