k,context_id,context_len,bayes_p_next_1,model_p_next_1
1,1,94,0.14285714285714285,0.17617501318454742
1,2,1406,0.9587706146926537,0.9708526730537415
1,3,1230,0.5591787439613527,0.6125239729881287
1,4,169,0.25196850393700787,0.2490716129541397
1,5,1853,0.6916019760056458,0.7803601622581482
1,6,497,0.22592592592592592,0.18627862632274628
1,7,566,0.24358974358974358,0.254983127117157
1,8,426,0.5308641975308642,0.6273232698440552
1,9,720,0.029166666666666667,0.0695025622844696
1,10,410,0.9318801089918256,0.9333199858665466
1,11,748,0.24752475247524752,0.29188063740730286
1,12,1662,0.02181818181818182,0.095491424202919
1,13,952,0.16958041958041958,0.2697630524635315
1,14,1881,0.993920972644377,0.9440979957580566
1,15,948,0.0374331550802139,0.1376141905784607
1,16,608,0.8101010101010101,0.8761496543884277
1,17,1616,0.16129032258064516,0.1543811857700348
1,18,1677,0.2652689152233364,0.13028155267238617
1,19,1760,0.8876889848812095,0.8362355828285217
1,20,1815,0.710691823899371,0.6837748885154724
1,21,113,0.9565217391304348,0.8330572843551636
1,22,1073,0.0860655737704918,0.06424172222614288
1,23,591,0.9732824427480916,0.9609327912330627
1,24,546,0.31221719457013575,0.3385109305381775
1,25,538,0.9101123595505618,0.7641469240188599
1,26,1686,0.5261194029850746,0.5481082797050476
1,27,1622,0.5,0.4674931764602661
1,28,484,0.04086021505376344,0.026020366698503494
1,29,870,0.03651685393258427,0.09304198622703552
1,30,1523,0.8630239520958084,0.908794641494751
1,31,355,0.6842105263157895,0.7714682817459106
1,32,1303,0.6017441860465116,0.5808635950088501
1,33,927,0.41697416974169743,0.5532317161560059
1,34,1889,0.8452554744525548,0.8392598032951355
1,35,1518,0.1605911330049261,0.1551029086112976
1,36,520,0.5815602836879432,0.5543927550315857
1,37,1707,0.20883054892601433,0.204496368765831
1,38,1636,0.6075949367088608,0.6920133233070374
1,39,483,0.010526315789473684,0.01914595440030098
1,40,1083,0.5538971807628524,0.609264075756073
1,41,1626,0.16051660516605165,0.1369202882051468
1,42,519,0.7062937062937062,0.6737365126609802
1,43,545,0.234192037470726,0.2135535180568695
1,44,390,0.7832512315270936,0.8414024114608765
1,45,78,0.8709677419354839,0.8497762680053711
1,46,1043,0.3106212424849699,0.25472763180732727
1,47,95,0.06666666666666667,0.055793292820453644
1,48,1210,0.9283018867924528,0.918106198310852
1,49,882,0.3661417322834646,0.4008605182170868
1,50,426,0.8884758364312267,0.8038554191589355
1,51,776,0.8553971486761711,0.8616339564323425
1,52,93,0.4166666666666667,0.44764444231987
