step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
1,0.7074057683348656,6.666666666666667e-06,1.7071232795715332,nan,nan,nan,0
2,0.701746940612793,1.3333333333333333e-05,2.8951315879821777,nan,nan,nan,0
3,0.6902895197272301,2e-05,4.088239669799805,nan,nan,nan,0
4,0.6764032542705536,2.6666666666666667e-05,5.276930093765259,nan,nan,nan,0
5,0.6608887538313866,3.3333333333333335e-05,6.464773416519165,nan,nan,nan,0
6,0.6400879099965096,4e-05,7.653724670410156,nan,nan,nan,0
7,0.6252790167927742,4.6666666666666665e-05,8.841558456420898,nan,nan,nan,0
8,0.6082703843712807,5.333333333333333e-05,10.030130863189697,nan,nan,nan,0
9,0.6119471564888954,6.000000000000001e-05,11.21519923210144,nan,nan,nan,0
10,0.5892560333013535,6.666666666666667e-05,12.42052698135376,nan,nan,nan,0
11,0.6002392694354057,7.333333333333333e-05,13.63242793083191,nan,nan,nan,0
12,0.610666386783123,8e-05,14.816514253616333,nan,nan,nan,0
13,0.5983949452638626,8.666666666666668e-05,16.00633192062378,nan,nan,nan,0
14,0.566698431968689,9.333333333333333e-05,17.191652297973633,nan,nan,nan,0
15,0.5994672998785973,0.0001,18.376094579696655,nan,nan,nan,0
16,0.5956865847110748,0.00010666666666666667,19.56291127204895,nan,nan,nan,0
17,0.5235752202570438,0.00011333333333333334,20.748322010040283,nan,nan,nan,0
18,0.6005878373980522,0.00012000000000000002,21.934886932373047,nan,nan,nan,0
19,0.6084909662604332,0.00012666666666666666,23.120155334472656,nan,nan,nan,0
20,0.5958442315459251,0.00013333333333333334,24.304856777191162,nan,nan,nan,0
21,0.5774883925914764,0.00014000000000000001,25.487847805023193,nan,nan,nan,0
22,0.5940595045685768,0.00014666666666666666,26.672009468078613,nan,nan,nan,0
23,0.5694136396050453,0.00015333333333333334,27.85489249229431,nan,nan,nan,0
24,0.5715445950627327,0.00016,29.037362813949585,nan,nan,nan,0
25,0.5857766680419445,0.00016666666666666666,30.2228524684906,nan,nan,nan,0
26,0.5632815286517143,0.00017333333333333336,31.405399322509766,nan,nan,nan,0
27,0.6128053665161133,0.00018,32.639012813568115,nan,nan,nan,0
28,0.618525430560112,0.00018666666666666666,33.84084486961365,nan,nan,nan,0
29,0.5648409016430378,0.00019333333333333336,35.026251792907715,nan,nan,nan,0
30,0.5724618136882782,0.0002,36.20789980888367,nan,nan,nan,0
31,0.5487772189080715,0.0002,37.39160108566284,nan,nan,nan,0
32,0.584822840988636,0.00019999324857499217,38.57732033729553,nan,nan,nan,0
33,0.5735980831086636,0.0001999729952208119,39.76003646850586,nan,nan,nan,0
34,0.560025330632925,0.0001999392426998633,40.944061040878296,nan,nan,nan,0
35,0.5531469956040382,0.0001998919956157345,42.12737512588501,nan,nan,nan,0
36,0.5620435141026974,0.00019983126041256982,43.31133198738098,nan,nan,nan,0
37,0.5543583668768406,0.00019975704537419093,44.49340319633484,nan,nan,nan,0
38,0.5899206735193729,0.00019966936062296682,45.67687392234802,nan,nan,nan,0
39,0.561247281730175,0.00019956821811843327,46.85777258872986,nan,nan,nan,0
40,0.5927052311599255,0.0001994536316556617,48.03970742225647,nan,nan,nan,0
41,0.579269390553236,0.0001993256168633776,49.222036838531494,nan,nan,nan,0
42,0.5956731215119362,0.0001991841912018288,50.40564584732056,nan,nan,nan,0
43,0.5711197853088379,0.00019902937396040416,51.58943319320679,nan,nan,nan,0
44,0.6079312190413475,0.0001988611862550026,52.77224040031433,nan,nan,nan,0
45,0.5498568080365658,0.00019867965102515298,53.95712733268738,nan,nan,nan,0
46,0.5877837091684341,0.00019848479303088547,55.13706851005554,nan,nan,nan,0
47,0.5673763602972031,0.00019827663884935425,56.317280530929565,nan,nan,nan,0
48,0.5250081494450569,0.00019805521687121287,57.496034383773804,nan,nan,nan,0
49,0.5665718764066696,0.00019782055729674166,58.67373085021973,nan,nan,nan,0
