step,train_loss,eval_loss,lr
1,0.6805717945098877,nan,7.499999999999999e-07
2,0.6799070835113525,nan,1.4999999999999998e-06
3,0.6809977293014526,nan,2.25e-06
4,0.6768869757652283,nan,2.9999999999999997e-06
5,0.6812302470207214,nan,3.7499999999999997e-06
6,0.6833404898643494,nan,4.5e-06
7,0.6783297061920166,nan,5.25e-06
8,0.678844690322876,nan,5.999999999999999e-06
9,0.6793764233589172,nan,6.749999999999999e-06
10,0.6794317960739136,nan,7.499999999999999e-06
11,0.6801689863204956,nan,8.249999999999999e-06
12,0.6798552870750427,nan,9e-06
13,0.6784867644309998,nan,9.75e-06
14,0.6791262030601501,nan,1.05e-05
15,0.6794922947883606,nan,1.1249999999999999e-05
16,0.681359589099884,nan,1.1999999999999999e-05
17,0.6795571446418762,nan,1.2749999999999998e-05
18,0.6767259240150452,nan,1.3499999999999998e-05
19,0.6806107759475708,nan,1.4249999999999999e-05
20,0.6784530878067017,nan,1.4999999999999999e-05
21,0.6775301098823547,nan,1.5749999999999997e-05
22,0.6819233298301697,nan,1.6499999999999998e-05
23,0.6789448261260986,nan,1.725e-05
24,0.679946780204773,nan,1.8e-05
25,0.678683340549469,nan,1.875e-05
26,0.6755167245864868,nan,1.95e-05
27,0.6771823167800903,nan,2.0249999999999998e-05
28,0.6772359609603882,nan,2.1e-05
29,0.6797359585762024,nan,2.175e-05
30,0.678676962852478,nan,2.2499999999999998e-05
31,0.6783229112625122,nan,2.325e-05
32,0.6746989488601685,nan,2.3999999999999997e-05
33,0.6781117916107178,nan,2.475e-05
34,0.6749268770217896,nan,2.5499999999999996e-05
35,0.6745938658714294,nan,2.6249999999999998e-05
36,0.6736053824424744,nan,2.6999999999999996e-05
37,0.6748784184455872,nan,2.7749999999999997e-05
38,0.6761438250541687,nan,2.8499999999999998e-05
39,0.677199125289917,nan,2.9249999999999996e-05
40,0.6772270798683167,nan,2.9999999999999997e-05
41,0.6761256456375122,nan,3.0749999999999995e-05
42,0.6746446490287781,nan,3.149999999999999e-05
43,0.676652193069458,nan,3.225e-05
44,0.6729333400726318,nan,3.2999999999999996e-05
45,0.6758955717086792,nan,3.3749999999999994e-05
46,0.6753882169723511,nan,3.45e-05
47,0.6741892695426941,nan,3.5249999999999996e-05
48,0.6755741834640503,nan,3.6e-05
49,0.6726163029670715,nan,3.675e-05
50,0.6771499514579773,nan,3.75e-05
51,0.6711074709892273,nan,3.825e-05
52,0.6731345653533936,nan,3.9e-05
53,0.6768497228622437,nan,3.974999999999999e-05
54,0.6700996160507202,nan,4.0499999999999995e-05
55,0.6748968958854675,nan,4.124999999999999e-05
56,0.6686453223228455,nan,4.2e-05
57,0.6682752966880798,nan,4.2749999999999996e-05
58,0.668133556842804,nan,4.35e-05
