k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
5,0,15,100,3.0377467475121133e-33,-32.517448435457624,8.35739539219025e-31,7.919753353548215e-32,27411.82401572771
5,1,13,100,2.6580284040730957e-34,-33.57544038243531,5.846067109493569e-31,5.667099479866089e-32,219839.97884052718
5,2,20,100,5.1792105559021955e-39,-38.28573643279217,9.94998542641725e-32,2.0508843642392337e-32,1921139293.5468235
5,3,17,100,9.64143620761346e-35,-34.01585826790396,6.584520573543951e-31,7.140888604759298e-32,682839.8060368244
5,4,18,100,1.5064744074396716e-33,-32.822038241887824,8.772354037031864e-31,8.104056687879747e-32,58131.01935027836
5,5,19,100,4.4488072344703023e-33,-32.35175641169847,8.779824227468042e-31,1.222625343928759e-31,19635.23186044138
5,6,12,100,1.87472370703604e-33,-32.72706272865697,9.066984289513264e-31,8.959217378404507e-32,48264.3763370778
5,7,10,100,1.80217885655618e-33,-32.7442021098271,6.146385503045692e-31,9.93866914548668e-32,34005.30248252354
