step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct
1,0.7063615918159485,3.3333333333333335e-07,0.8380365371704102,nan,nan,nan
2,0.7961433529853821,6.666666666666667e-07,0.9341063499450684,nan,nan,nan
3,0.7089497447013855,1.0000000000000002e-06,1.0296573638916016,nan,nan,nan
4,0.7431920170783997,1.3333333333333334e-06,1.1258788108825684,nan,nan,nan
5,0.7375555634498596,1.6666666666666667e-06,1.2217726707458496,nan,nan,nan
6,0.6983605027198792,2.0000000000000003e-06,1.31715989112854,nan,nan,nan
7,0.7025859355926514,2.333333333333333e-06,1.4265468120574951,nan,nan,nan
8,0.6954309940338135,2.666666666666667e-06,1.5345380306243896,nan,nan,nan
9,0.7005196213722229,3e-06,1.644085168838501,nan,nan,nan
10,0.7169471979141235,3.3333333333333333e-06,1.7521898746490479,nan,nan,nan
11,0.6800170540809631,3.666666666666667e-06,1.8603482246398926,nan,nan,nan
12,0.6937406063079834,4.000000000000001e-06,1.9686732292175293,nan,nan,nan
13,0.6936456561088562,4.333333333333334e-06,2.0765981674194336,nan,nan,nan
14,0.6880554556846619,4.666666666666666e-06,2.184201717376709,nan,nan,nan
15,0.7137378454208374,5e-06,2.2924721240997314,nan,nan,nan
16,0.6875673532485962,5.333333333333334e-06,2.4045193195343018,nan,nan,nan
17,0.7009645104408264,5.666666666666667e-06,2.51240873336792,nan,nan,nan
18,0.7519213557243347,6e-06,2.620014190673828,nan,nan,nan
19,0.7314005494117737,6.333333333333333e-06,2.728302001953125,nan,nan,nan
20,0.7071767449378967,6.666666666666667e-06,2.8363595008850098,nan,nan,nan
21,0.7034669518470764,7.000000000000001e-06,2.9436442852020264,nan,nan,nan
22,0.7011573910713196,7.333333333333334e-06,3.051821708679199,nan,nan,nan
23,0.6865509152412415,7.666666666666667e-06,3.1828184127807617,nan,nan,nan
24,0.6782536506652832,8.000000000000001e-06,3.2912979125976562,nan,nan,nan
25,0.6864767670631409,8.333333333333334e-06,3.4210522174835205,nan,nan,nan
26,0.6993327140808105,8.666666666666668e-06,3.5395984649658203,nan,nan,nan
27,0.6973077654838562,9e-06,3.6552011966705322,nan,nan,nan
28,0.6953040957450867,9.333333333333333e-06,3.7518110275268555,nan,nan,nan
29,0.6916686296463013,9.666666666666667e-06,3.8481104373931885,nan,nan,nan
30,0.6956964731216431,1e-05,3.944202423095703,nan,nan,nan
31,0.6625574827194214,1.0333333333333335e-05,4.040983438491821,nan,nan,nan
32,0.6789078712463379,1.0666666666666667e-05,4.137028455734253,nan,nan,nan
33,0.6973263025283813,1.1e-05,4.233465671539307,nan,nan,nan
34,0.6970484852790833,1.1333333333333334e-05,4.329635143280029,nan,nan,nan
35,0.6919438242912292,1.1666666666666666e-05,4.426447153091431,nan,nan,nan
36,0.6979387402534485,1.2e-05,4.5357749462127686,nan,nan,nan
