k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
3,0,8000,100,5.429774086869582e-63,-62.26521823944742,5.385211713609356e-51,2.6348143183554527e-51,99179295997352.47
3,1,8000,100,1.4041857812551723e-39,-38.852575428932504,6.593421429623054e-46,1.6965654837806262e-46,99.99995304452219
3,2,8000,100,1.024069234753031e-53,-52.98967068080671,2.0435833035223764e-45,5.20897773700956e-46,19955518864.64516
3,3,8000,100,1.0545230799537023e-36,-35.976943910578974,6.134955520880262e-34,5.565604328010311e-35,58077.53672256857
