k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
2,0,10,100,9.953735857826249e-42,-41.00201388830674,4.061625939170396e-33,2.1059502431538217e-33,40805040310.801056
2,1,12,100,8.378674607228739e-35,-34.07682467543791,8.464605750621933e-33,8.04933916785273e-33,10002.559351474345
2,2,14,100,1.9651786665786594e-36,-35.706597959089144,1.4618347107470442e-32,5.662553530735308e-33,743768.6037092353
2,3,10,100,6.210297620217203e-35,-34.20688758634181,2.756199591574813e-32,1.2916832329861974e-32,44281.11923335513
2,4,15,100,1.1146487522091946e-39,-38.95286196580843,7.64628879227228e-34,5.640982175160295e-34,68598090.92891465
2,5,18,100,3.901673673392083e-39,-38.408749056769175,4.8649661699846286e-32,1.7350153387276938e-32,1246892023.0296195
2,6,14,100,2.4780069052105636e-40,-39.60589748775387,2.031570629947448e-32,6.695155317906862e-33,8198405746.551988
2,7,20,100,8.10606208369138e-38,-37.09119007435434,4.3361295972289337e-32,1.2302351589550096e-32,53492330.1400653
