k,context_id,context_len,target_len,context_t01,context_t10,target_t01,target_t10,context_t00,context_t11,target_t00,target_t11,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct,teacher_forced_true_prob,teacher_forced_true_log10_prob,relative_error_teacher_forced_pct
1,0,1000,100,187,187,24,25,215,410,25,25,1.2878904164714505e-25,-24.890121088487405,1.1662270174927561e-32,1.037318919763757e-33,99.99999094467198,7.0436830906347707e-33,-32.152200192041029,65.570625833999117
1,1,1000,100,481,481,24,25,20,17,25,25,1.5680783618387508e-64,-63.80463223803946,1.5575820163481305e-67,7.075776811512315e-68,99.90066937633642,5.5627952482005924e-72,-71.254706924997706,2799898.8258636058
1,2,1000,100,193,193,24,25,177,436,25,25,5.420198181850289e-23,-22.265984833810233,6.729156571331537e-33,5.663492028080527e-34,99.99999998758504,4.6094407087371731e-33,-32.336351766984471,45.986400444992221
1,3,1000,100,17,16,24,25,21,945,25,25,9.09138830470033e-18,-17.041369792572024,1.3616608927825246e-53,9.01064111046744e-54,100.0,2.9733794975929516e-56,-55.526749657497938,45695.058918137889
1,4,1000,100,197,198,24,25,35,569,25,25,7.080484213923035e-12,-11.149937041145815,3.7571352078814417e-41,1.9232817976780222e-41,100.0,1.1576172961875052e-42,-41.936434992961338,3145.5762541344052
1,5,1000,100,38,39,24,25,26,896,25,25,4.141616429480127e-14,-13.382830125209315,1.5529170556482595e-48,1.0154677802945657e-48,100.0,4.6159236443054123e-50,-49.335741383806194,3264.2607099102847
1,6,1000,100,48,49,24,25,898,4,25,25,1.4490885056855087e-95,-94.83890508840253,1.0302737964346897e-49,9.625643250872303e-50,7.1098058703274745e+47,8.2840009838657467e-52,-51.081759858198737,12336.910599615963
1,7,1000,100,158,158,24,25,581,102,25,25,1.0880651225529026e-52,-51.96334511059465,5.626014932118706e-35,2.464271673097898e-35,5.170660115378493e+19,1.3541510984124858e-35,-34.868332873652669,315.4643406274426
