k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
3,0,12,100,1.145568231666543e-35,-34.940979038509695,1.5795013891759934e-31,9.725823702122787e-32,1378692.9391845788
3,1,18,100,1.0188915684652274e-34,-33.99187203161955,1.2096738369158217e-34,9.153627398260429e-35,18.724491825756566
3,2,16,100,4.260284694473198e-33,-32.370561378102096,1.3416714046676863e-33,7.847189151278438e-34,68.50747072353602
3,3,18,100,1.9348178759502037e-33,-32.713359908780646,1.8196463282740876e-34,1.697970129919775e-34,90.59525782301114
3,4,20,100,1.4985661721334796e-39,-38.82432407516884,1.2894771775688874e-31,5.63476311986527e-32,8604739560.79912
3,5,11,100,3.7774689899730643e-32,-31.422799092187837,2.664490784243645e-32,1.8372403048134057e-32,29.463596092614264
3,6,15,100,5.5545010792829126e-36,-35.255354944508056,1.266419970939186e-31,7.627404077057561e-32,2279888.702608518
3,7,19,100,8.413969931946425e-28,-27.07499904430536,4.6892089365499935e-34,3.3252507919102645e-34,99.99994426876998
