step,train_loss,lr,elapsed_sec,eval_model_nll,eval_bayes_nll,eval_gap_pct,eval_fresh
48,0.6212889701128006,2.4e-05,187.91986846923828,nan,nan,nan,0
49,0.6109331771731377,2.4500000000000003e-05,191.82491755485535,nan,nan,nan,0
50,0.6254534050822258,2.5e-05,209.22600889205933,0.6261799367078098,0.48297414507706765,29.65081942593241,1
51,0.611432746052742,2.5500000000000003e-05,213.00041270256042,0.6261799367078098,0.48297414507706765,29.65081942593241,0
52,0.5842173844575882,2.6000000000000002e-05,216.9010648727417,0.6261799367078098,0.48297414507706765,29.65081942593241,0
53,0.6204681694507599,2.65e-05,220.85882687568665,0.6261799367078098,0.48297414507706765,29.65081942593241,0
54,0.6152708679437637,2.7e-05,224.76249861717224,0.6261799367078098,0.48297414507706765,29.65081942593241,0
55,0.6275736540555954,2.75e-05,228.67319059371948,0.6261799367078098,0.48297414507706765,29.65081942593241,0
56,0.6072889640927315,2.8e-05,232.62055683135986,0.6261799367078098,0.48297414507706765,29.65081942593241,0
57,0.6083017662167549,2.85e-05,236.53456926345825,0.6261799367078098,0.48297414507706765,29.65081942593241,0
58,0.6204576194286346,2.9e-05,240.4355330467224,0.6261799367078098,0.48297414507706765,29.65081942593241,0
59,0.6299180909991264,2.9500000000000002e-05,244.33439230918884,0.6261799367078098,0.48297414507706765,29.65081942593241,0
60,0.6129340417683125,2.9999999999999997e-05,248.24087023735046,0.6261799367078098,0.48297414507706765,29.65081942593241,0
61,0.5799025222659111,3.05e-05,252.14906525611877,0.6261799367078098,0.48297414507706765,29.65081942593241,0
62,0.642177902162075,3.1e-05,256.054518699646,0.6261799367078098,0.48297414507706765,29.65081942593241,0
63,0.62541663646698,3.15e-05,259.95989179611206,0.6261799367078098,0.48297414507706765,29.65081942593241,0
64,0.5940327569842339,3.2e-05,263.85887241363525,0.6261799367078098,0.48297414507706765,29.65081942593241,0
65,0.6000641956925392,3.2500000000000004e-05,267.7632963657379,0.6261799367078098,0.48297414507706765,29.65081942593241,0
66,0.5907760336995125,3.3e-05,271.6687400341034,0.6261799367078098,0.48297414507706765,29.65081942593241,0
67,0.592583917081356,3.35e-05,275.5667588710785,0.6261799367078098,0.48297414507706765,29.65081942593241,0
68,0.6169562041759491,3.4e-05,279.4665172100067,0.6261799367078098,0.48297414507706765,29.65081942593241,0
69,0.589059442281723,3.4500000000000005e-05,283.37202978134155,0.6261799367078098,0.48297414507706765,29.65081942593241,0
70,0.6266556605696678,3.5000000000000004e-05,287.2622878551483,0.6261799367078098,0.48297414507706765,29.65081942593241,0
71,0.5890460126101971,3.55e-05,291.1702764034271,0.6261799367078098,0.48297414507706765,29.65081942593241,0
72,0.6280049979686737,3.6e-05,295.0602912902832,0.6261799367078098,0.48297414507706765,29.65081942593241,0
73,0.6065024957060814,3.65e-05,298.9771430492401,0.6261799367078098,0.48297414507706765,29.65081942593241,0
74,0.5989708825945854,3.7e-05,302.8765742778778,0.6261799367078098,0.48297414507706765,29.65081942593241,0
75,0.6064650416374207,3.75e-05,306.80275416374207,0.6261799367078098,0.48297414507706765,29.65081942593241,0
76,0.598198913037777,3.8e-05,310.72258853912354,0.6261799367078098,0.48297414507706765,29.65081942593241,0
77,0.6326837465167046,3.85e-05,314.6747386455536,0.6261799367078098,0.48297414507706765,29.65081942593241,0
78,0.6033888682723045,3.9e-05,318.6215283870697,0.6261799367078098,0.48297414507706765,29.65081942593241,0
