k,state,true_mean,sample_mean,sample_std,abs_err
7,0,0.5,0.4253968253968254,0.0,0.07460317460317462
7,1,0.5,0.4409090909090909,0.0,0.05909090909090908
7,2,0.5,0.4618834080717489,0.0,0.03811659192825112
7,3,0.5,0.37579617834394907,0.0,0.12420382165605093
7,4,0.5,0.4189189189189189,0.0,0.08108108108108109
7,5,0.5,0.4551282051282051,0.0,0.04487179487179488
7,6,0.5,0.4375,0.0,0.0625
7,7,0.5,0.31521739130434784,0.0,0.18478260869565216
7,8,0.5,0.452914798206278,0.0,0.047085201793722
7,9,0.5,0.3850574712643678,0.0,0.11494252873563221
7,10,0.5,0.35668789808917195,0.0,0.14331210191082805
7,11,0.5,0.4642857142857143,0.0,0.0357142857142857
7,12,0.6666666666666666,0.4407894736842105,0.0,0.22587719298245612
7,13,0.5,0.42857142857142855,0.0,0.07142857142857145
7,14,0.5,0.3925233644859813,0.0,0.1074766355140187
7,15,0.5,0.4067796610169492,0.0,0.09322033898305082
7,16,0.5,0.4025423728813559,0.0,0.09745762711864409
7,17,0.5,0.41509433962264153,0.0,0.08490566037735847
7,18,0.5,0.3829787234042553,0.0,0.11702127659574468
7,19,0.5,0.38181818181818183,0.0,0.11818181818181817
7,20,0.5,0.3727810650887574,0.0,0.1272189349112426
7,21,0.5,0.5094339622641509,0.0,0.009433962264150941
7,22,0.5,0.33,0.0,0.16999999999999998
7,23,0.5,0.4246575342465753,0.0,0.07534246575342468
7,24,0.5,0.4358974358974359,0.0,0.0641025641025641
7,25,0.3333333333333333,0.32727272727272727,0.0,0.006060606060606044
7,26,0.5,0.3944954128440367,0.0,0.10550458715596328
7,27,0.5,0.36363636363636365,0.0,0.13636363636363635
7,28,0.5,0.4260869565217391,0.0,0.07391304347826089
7,29,0.5,0.4166666666666667,0.0,0.08333333333333331
7,30,0.5,0.42592592592592593,0.0,0.07407407407407407
7,31,0.5,0.42105263157894735,0.0,0.07894736842105265
7,32,0.5,0.4104803493449782,0.0,0.08951965065502182
7,33,0.5,0.3548387096774194,0.0,0.14516129032258063
7,34,0.5,0.40229885057471265,0.0,0.09770114942528735
7,35,0.5,0.38738738738738737,0.0,0.11261261261261263
7,36,0.5,0.44021739130434784,0.0,0.05978260869565216
7,37,0.5,0.39090909090909093,0.0,0.10909090909090907
7,38,0.5,0.3983050847457627,0.0,0.1016949152542373
7,39,0.5,0.3125,0.0,0.1875
7,40,0.5,0.42138364779874216,0.0,0.07861635220125784
7,41,0.5,0.4077669902912621,0.0,0.09223300970873788
7,42,0.5,0.45454545454545453,0.0,0.04545454545454547
7,43,0.5,0.43243243243243246,0.0,0.06756756756756754
7,44,0.5,0.32142857142857145,0.0,0.17857142857142855
7,45,0.5,0.2727272727272727,0.0,0.2272727272727273
7,46,0.5,0.44,0.0,0.06
7,47,0.5,0.38,0.0,0.12
7,48,0.5,0.43243243243243246,0.0,0.06756756756756754
7,49,0.5,0.4049586776859504,0.0,0.0950413223140496
7,50,0.3333333333333333,0.35833333333333334,0.0,0.025000000000000022
7,51,0.5,0.4375,0.0,0.0625
7,52,0.5,0.42592592592592593,0.0,0.07407407407407407
7,53,0.5,0.5131578947368421,0.0,0.013157894736842146
7,54,0.5,0.34210526315789475,0.0,0.15789473684210525
7,55,0.5,0.3333333333333333,0.0,0.16666666666666669
7,56,0.5,0.44339622641509435,0.0,0.05660377358490565
7,57,0.5,0.45454545454545453,0.0,0.04545454545454547
7,58,0.5,0.35443037974683544,0.0,0.14556962025316456
7,59,0.5,0.4166666666666667,0.0,0.08333333333333331
7,60,0.5,0.36363636363636365,0.0,0.13636363636363635
7,61,0.5,0.4,0.0,0.09999999999999998
7,62,0.5,0.3409090909090909,0.0,0.15909090909090912
7,63,0.5,0.3103448275862069,0.0,0.1896551724137931
7,64,0.5,0.39090909090909093,0.0,0.10909090909090907
7,65,0.5,0.375,0.0,0.125
7,66,0.5,0.34615384615384615,0.0,0.15384615384615385
7,67,0.5,0.3473684210526316,0.0,0.1526315789473684
7,68,0.5,0.46285714285714286,0.0,0.037142857142857144
7,69,0.5,0.36283185840707965,0.0,0.13716814159292035
7,70,0.3333333333333333,0.4745762711864407,0.0,0.14124293785310738
7,71,0.5,0.40540540540540543,0.0,0.09459459459459457
7,72,0.5,0.3372093023255814,0.0,0.16279069767441862
7,73,0.5,0.3467741935483871,0.0,0.15322580645161288
7,74,0.5,0.423728813559322,0.0,0.07627118644067798
7,75,0.5,0.3442622950819672,0.0,0.1557377049180328
7,76,0.5,0.37719298245614036,0.0,0.12280701754385964
7,77,0.5,0.4788732394366197,0.0,0.02112676056338031
7,78,0.5,0.375,0.0,0.125
7,79,0.5,0.42424242424242425,0.0,0.07575757575757575
7,80,0.5,0.40540540540540543,0.0,0.09459459459459457
7,81,0.5,0.35714285714285715,0.0,0.14285714285714285
7,82,0.5,0.3584905660377358,0.0,0.14150943396226418
7,83,0.5,0.3055555555555556,0.0,0.19444444444444442
7,84,0.5,0.43010752688172044,0.0,0.06989247311827956
7,85,0.5,0.29850746268656714,0.0,0.20149253731343286
7,86,0.5,0.4230769230769231,0.0,0.07692307692307693
7,87,0.5,0.36538461538461536,0.0,0.13461538461538464
7,88,0.5,0.4690265486725664,0.0,0.03097345132743362
7,89,0.5,0.3783783783783784,0.0,0.1216216216216216
7,90,0.5,0.44,0.0,0.06
7,91,0.5,0.3939393939393939,0.0,0.10606060606060608
7,92,0.5,0.4117647058823529,0.0,0.08823529411764708
7,93,0.5,0.32727272727272727,0.0,0.17272727272727273
7,94,0.5,0.4782608695652174,0.0,0.021739130434782594
7,95,0.5,0.37142857142857144,0.0,0.12857142857142856
7,96,0.5,0.4370860927152318,0.0,0.0629139072847682
7,97,0.5,0.4166666666666667,0.0,0.08333333333333331
7,98,0.5,0.37719298245614036,0.0,0.12280701754385964
7,99,0.3333333333333333,0.38271604938271603,0.0,0.04938271604938271
7,100,0.3333333333333333,0.38738738738738737,0.0,0.05405405405405406
7,101,0.5,0.2608695652173913,0.0,0.2391304347826087
7,102,0.5,0.3582089552238806,0.0,0.14179104477611942
7,103,0.5,0.2653061224489796,0.0,0.2346938775510204
7,104,0.5,0.5130434782608696,0.0,0.013043478260869601
7,105,0.5,0.4,0.0,0.09999999999999998
7,106,0.5,0.36065573770491804,0.0,0.13934426229508196
7,107,0.5,0.35714285714285715,0.0,0.14285714285714285
7,108,0.5,0.5066666666666667,0.0,0.00666666666666671
7,109,0.5,0.35714285714285715,0.0,0.14285714285714285
7,110,0.5,0.4583333333333333,0.0,0.041666666666666685
7,111,0.5,0.5161290322580645,0.0,0.016129032258064502
7,112,0.5,0.32323232323232326,0.0,0.17676767676767674
7,113,0.6666666666666666,0.43243243243243246,0.0,0.23423423423423417
7,114,0.5,0.43333333333333335,0.0,0.06666666666666665
7,115,0.5,0.40384615384615385,0.0,0.09615384615384615
7,116,0.5,0.35365853658536583,0.0,0.14634146341463417
7,117,0.5,0.4146341463414634,0.0,0.0853658536585366
7,118,0.5,0.3902439024390244,0.0,0.1097560975609756
7,119,0.5,0.47058823529411764,0.0,0.02941176470588236
7,120,0.6666666666666666,0.40298507462686567,0.0,0.26368159203980096
7,121,0.5,0.4857142857142857,0.0,0.01428571428571429
7,122,0.5,0.29545454545454547,0.0,0.20454545454545453
7,123,0.5,0.5185185185185185,0.0,0.01851851851851849
7,124,0.3333333333333333,0.3191489361702128,0.0,0.014184397163120532
7,125,0.5,0.34615384615384615,0.0,0.15384615384615385
7,126,0.5,0.3793103448275862,0.0,0.12068965517241381
7,127,0.5,0.35714285714285715,0.0,0.14285714285714285
