k,context_id,context_len,target_len,true_prob,true_log10_prob,posterior_estimate,posterior_std_error,relative_error_pct
2,0,100,100,2.47639214303103e-27,-26.606180582564026,6.178196841074218e-33,1.140068862596213e-33,99.99975051621536
2,1,100,100,4.89515097908735e-53,-52.31023390889182,4.122113628368801e-40,2.5631602272250618e-40,842080999335558.1
2,2,100,100,4.144349005576289e-29,-28.38254367874215,4.7889357896249817e-32,4.541045202192448e-33,99.88444660951139
2,3,100,100,2.3441639047639816e-28,-27.630012025569503,6.0822694820673236e-34,3.6792906033885293e-34,99.99974053565667
2,4,100,100,5.958365926325902e-30,-29.22487282859595,7.916099668797121e-38,3.8988923358989355e-38,99.9999986714311
2,5,100,100,1.9627493746045403e-42,-41.70713515234867,5.939433951766487e-37,3.422971526000954e-37,30260686.367404547
2,6,100,100,1.0122675147432583e-19,-18.994704700120877,1.1754088935598845e-34,8.261598979085878e-35,99.99999999999987
2,7,100,100,8.039543934751767e-38,-37.09476858710211,9.41816521003692e-34,3.7387473189769335e-34,1171380.034996254
